Brand Name,Program,numyrs,firstyear,Year,Generic Name,Nom Total Spend,Inf Total Spend,Total Claims,Total Beneficiaries,Yearnum,complete
A-Hydrocort,Medicaid,5,2013,2013,Hydrocortisone Sod Succinate,2247.72,2360,85,NA,2013,Complete
A-Hydrocort,Medicaid,5,2013,2014,Hydrocortisone Sod Succinate,40656.7,42000,181,NA,2014,Complete
A-Hydrocort,Medicaid,5,2013,2015,Hydrocortisone Sod Succinate,95103.89,98000,136,NA,2015,Complete
A-Hydrocort,Medicaid,5,2013,2016,Hydrocortisone Sod Succinate,20684.94,21100,68,NA,2016,Complete
A-Hydrocort,Medicaid,5,2013,2017,Hydrocortisone Sod Succinate,9304.26,9300,51,NA,2017,Complete
A-Methapred,Medicaid,5,2013,2013,Methylprednisolone Sod Succ,219186.44,230000,5541,NA,2013,Complete
A-Methapred,Medicaid,5,2013,2014,Methylprednisolone Sod Succ,83609.24,86400,2260,NA,2014,Complete
A-Methapred,Medicaid,5,2013,2015,Methylprednisolone Sod Succ,15948.32,16400,1565,NA,2015,Complete
A-Methapred,Medicaid,5,2013,2016,Methylprednisolone Sod Succ,19600.11,20000,656,NA,2016,Complete
A-Methapred,Medicaid,5,2013,2017,Methylprednisolone Sod Succ,1047.99,1050,172,NA,2017,Complete
Abacavir,Medicaid,5,2013,2013,Abacavir Sulfate,10610818.99,11140000,24877,NA,2013,Complete
Abacavir,Medicaid,5,2013,2014,Abacavir Sulfate,10990163.32,11356000,28178,NA,2014,Complete
Abacavir,Medicaid,5,2013,2015,Abacavir Sulfate,9532563.66,9820000,29162,NA,2015,Complete
Abacavir,Medicaid,5,2013,2016,Abacavir Sulfate,7198568.34,7350000,27053,NA,2016,Complete
Abacavir,Medicaid,5,2013,2017,Abacavir Sulfate,4811099.86,4815000,22788,NA,2017,Complete
Abacavir-Lamivudine-Zidovudine,Medicaid,5,2013,2013,Abacavir/Lamivudine/Zidovudine,100757.12,106000,77,NA,2013,Complete
Abacavir-Lamivudine-Zidovudine,Medicaid,5,2013,2014,Abacavir/Lamivudine/Zidovudine,7933745.03,8200000,5736,NA,2014,Complete
Abacavir-Lamivudine-Zidovudine,Medicaid,5,2013,2015,Abacavir/Lamivudine/Zidovudine,8411564.86,8660000,6327,NA,2015,Complete
Abacavir-Lamivudine-Zidovudine,Medicaid,5,2013,2016,Abacavir/Lamivudine/Zidovudine,6092367.73,6220000,4673,NA,2016,Complete
Abacavir-Lamivudine-Zidovudine,Medicaid,5,2013,2017,Abacavir/Lamivudine/Zidovudine,3900972.24,3900000,3140,NA,2017,Complete
Abelcet,Medicaid,5,2013,2013,Amphotericin B Lipid Complex,568429.57,597000,525,NA,2013,Complete
Abelcet,Medicaid,5,2013,2014,Amphotericin B Lipid Complex,606670.77,627000,526,NA,2014,Complete
Abelcet,Medicaid,5,2013,2015,Amphotericin B Lipid Complex,407069.88,419000,774,NA,2015,Complete
Abelcet,Medicaid,5,2013,2016,Amphotericin B Lipid Complex,323087.11,330000,294,NA,2016,Complete
Abelcet,Medicaid,5,2013,2017,Amphotericin B Lipid Complex,482053.89,482000,558,NA,2017,Complete
Abilify,Medicaid,5,2013,2013,Aripiprazole,2011371372,2110000000,2748924,NA,2013,Complete
Abilify,Medicaid,5,2013,2014,Aripiprazole,2464644622,2550000000,2877748,NA,2014,Complete
Abilify,Medicaid,5,2013,2015,Aripiprazole,2033701773,2090000000,2085674,NA,2015,Complete
Abilify,Medicaid,5,2013,2016,Aripiprazole,1079158461,1100000000,1108938,NA,2016,Complete
Abilify,Medicaid,5,2013,2017,Aripiprazole,582802021.4,583000000,577759,NA,2017,Complete
Abilify Maintena,Medicaid,5,2013,2013,Aripiprazole,14575798.26,15300000,10211,NA,2013,Complete
Abilify Maintena,Medicaid,5,2013,2014,Aripiprazole,65870475.17,68100000,44411,NA,2014,Complete
Abilify Maintena,Medicaid,5,2013,2015,Aripiprazole,130013482.9,134000000,82537,NA,2015,Complete
Abilify Maintena,Medicaid,5,2013,2016,Aripiprazole,183086495.2,187000000,107250,NA,2016,Complete
Abilify Maintena,Medicaid,5,2013,2017,Aripiprazole,254301150.5,254000000,136814,NA,2017,Complete
Abraxane,Medicaid,5,2013,2013,Paclitaxel Protein-Bound,30007138.57,31500000,16121,NA,2013,Complete
Abraxane,Medicaid,5,2013,2014,Paclitaxel Protein-Bound,40455277.81,41800000,21034,NA,2014,Complete
Abraxane,Medicaid,5,2013,2015,Paclitaxel Protein-Bound,46869251.18,48300000,24307,NA,2015,Complete
Abraxane,Medicaid,5,2013,2016,Paclitaxel Protein-Bound,54780249.93,55900000,25426,NA,2016,Complete
Abraxane,Medicaid,5,2013,2017,Paclitaxel Protein-Bound,54460289.95,54500000,25914,NA,2017,Complete
Absorica,Medicaid,5,2013,2013,Isotretinoin,835926.31,878000,824,NA,2013,Complete
Absorica,Medicaid,5,2013,2014,Isotretinoin,5136130.84,5310000,4237,NA,2014,Complete
Absorica,Medicaid,5,2013,2015,Isotretinoin,5306360.56,5470000,4310,NA,2015,Complete
Absorica,Medicaid,5,2013,2016,Isotretinoin,6411713.97,6540000,4690,NA,2016,Complete
Absorica,Medicaid,5,2013,2017,Isotretinoin,9781028.68,9780000,5986,NA,2017,Complete
Acamprosate Calcium,Medicaid,5,2013,2013,Acamprosate Calcium,610359.29,641000,3728,NA,2013,Complete
Acamprosate Calcium,Medicaid,5,2013,2014,Acamprosate Calcium,2451876.8000000003,2533290,17564,NA,2014,Complete
Acamprosate Calcium,Medicaid,5,2013,2015,Acamprosate Calcium,4096887.2699999996,4222500,30491,NA,2015,Complete
Acamprosate Calcium,Medicaid,5,2013,2016,Acamprosate Calcium,5544914.66,5657600,37793,NA,2016,Complete
Acamprosate Calcium,Medicaid,5,2013,2017,Acamprosate Calcium,5295325.78,5299000,39531,NA,2017,Complete
Acanya,Medicaid,5,2013,2013,Clindamycin Phos/Benzoyl Perox,451461.31,474000,1570,NA,2013,Complete
Acanya,Medicaid,5,2013,2014,Clindamycin Phos/Benzoyl Perox,681796.84,704000,1932,NA,2014,Complete
Acanya,Medicaid,5,2013,2015,Clindamycin Phos/Benzoyl Perox,833988.03,859000,2063,NA,2015,Complete
Acanya,Medicaid,5,2013,2016,Clindamycin Phos/Benzoyl Perox,793999.27,810000,1883,NA,2016,Complete
Acanya,Medicaid,5,2013,2017,Clindamycin Phos/Benzoyl Perox,888163.97,888000,1926,NA,2017,Complete
Acarbose,Medicaid,5,2013,2013,Acarbose,2060782.04,2163300,46200,NA,2013,Complete
Acarbose,Medicaid,5,2013,2014,Acarbose,2282710.08,2358150,47678,NA,2014,Complete
Acarbose,Medicaid,5,2013,2015,Acarbose,3282757.68,3385300,57507,NA,2015,Complete
Acarbose,Medicaid,5,2013,2016,Acarbose,3425395.79,3495700,62670,NA,2016,Complete
Acarbose,Medicaid,5,2013,2017,Acarbose,2061237.4200000002,2061290,64023,NA,2017,Complete
Accupril,Medicaid,5,2013,2013,Quinapril HCl,1372.2,1440,23,NA,2013,Complete
Accupril,Medicaid,5,2013,2014,Quinapril HCl,3775.37,3900,49,NA,2014,Complete
Accupril,Medicaid,5,2013,2015,Quinapril HCl,8655.8,8920,78,NA,2015,Complete
Accupril,Medicaid,5,2013,2016,Quinapril HCl,11183.65,11400,74,NA,2016,Complete
Accupril,Medicaid,5,2013,2017,Quinapril HCl,11794.79,11800,80,NA,2017,Complete
Acebutolol HCl,Medicaid,5,2013,2013,Acebutolol HCl,112454.77,118100,6364,NA,2013,Complete
Acebutolol HCl,Medicaid,5,2013,2014,Acebutolol HCl,104142.41,107600,6333,NA,2014,Complete
Acebutolol HCl,Medicaid,5,2013,2015,Acebutolol HCl,111961.14,115400,7308,NA,2015,Complete
Acebutolol HCl,Medicaid,5,2013,2016,Acebutolol HCl,119847.98,122300,7450,NA,2016,Complete
Acebutolol HCl,Medicaid,5,2013,2017,Acebutolol HCl,125696.68000000001,125700,7640,NA,2017,Complete
