Brand Name,Year,Generic Name,num_manufac,Inf Total Spend,Total Spending,Total Dosage Units,Total Claims
A-Hydrocort,2013,Hydrocortisone Sod Succinate,1,2360,2247.72,117,85
A-Hydrocort,2014,Hydrocortisone Sod Succinate,1,42000,40656.7,240,181
A-Hydrocort,2015,Hydrocortisone Sod Succinate,1,98000,95103.89,175,136
A-Hydrocort,2016,Hydrocortisone Sod Succinate,1,21100,20684.94,74.002,68
A-Hydrocort,2017,Hydrocortisone Sod Succinate,1,9300,9304.26,94,51
A-Methapred,2013,Methylprednisolone Sod Succ,1,230000,219186.44,8373.784,5541
A-Methapred,2014,Methylprednisolone Sod Succ,1,86400,83609.24,27630.984,2260
A-Methapred,2015,Methylprednisolone Sod Succ,1,16400,15948.32,13694.505,1565
A-Methapred,2016,Methylprednisolone Sod Succ,1,20000,19600.11,983.64,656
A-Methapred,2017,Methylprednisolone Sod Succ,1,1050,1047.99,240.37,172
Abacavir,2013,Abacavir Sulfate,3,11140000,10610818.99,1463641.076,24877
Abacavir,2014,Abacavir Sulfate,4,11356000,10990163.32,1637804.875,28178
Abacavir,2015,Abacavir Sulfate,4,9820000,9532563.66,1706391,29162
Abacavir,2016,Abacavir Sulfate,4,7350000,7198568.34,1582737,27053
Abacavir,2017,Abacavir Sulfate,4,4815000,4811099.86,1317564,22788
Abacavir-Lamivudine-Zidovudine,2013,Abacavir/Lamivudine/Zidovudine,1,106000,100757.12,4608,77
Abacavir-Lamivudine-Zidovudine,2014,Abacavir/Lamivudine/Zidovudine,1,8200000,7933745.03,345248,5736
Abacavir-Lamivudine-Zidovudine,2015,Abacavir/Lamivudine/Zidovudine,1,8660000,8411564.86,377127,6327
Abacavir-Lamivudine-Zidovudine,2016,Abacavir/Lamivudine/Zidovudine,1,6220000,6092367.73,276536,4673
Abacavir-Lamivudine-Zidovudine,2017,Abacavir/Lamivudine/Zidovudine,1,3900000,3900972.24,183816,3140
Abelcet,2013,Amphotericin B Lipid Complex,1,597000,568429.57,60123.51,525
Abelcet,2014,Amphotericin B Lipid Complex,1,627000,606670.77,77893.5,526
Abelcet,2015,Amphotericin B Lipid Complex,1,419000,407069.88,66248.93,774
Abelcet,2016,Amphotericin B Lipid Complex,1,330000,323087.11,30943.9,294
Abelcet,2017,Amphotericin B Lipid Complex,1,482000,482053.89,55573,558
Abilify,2013,Aripiprazole,1,2110000000,2011371372,88800243.19,2748924
Abilify,2014,Aripiprazole,1,2550000000,2464644622,92805502.6,2877748
Abilify,2015,Aripiprazole,1,2090000000,2033701773,66070827.14,2085674
Abilify,2016,Aripiprazole,1,1100000000,1079158461,34140290.19,1108938
Abilify,2017,Aripiprazole,1,583000000,582802021.4,18559742.5,577759
Abilify Maintena,2013,Aripiprazole,1,15300000,14575798.26,10217.9,10211
Abilify Maintena,2014,Aripiprazole,1,68100000,65870475.17,46719.784,44411
Abilify Maintena,2015,Aripiprazole,1,134000000,130013482.9,82511.343,82537
Abilify Maintena,2016,Aripiprazole,1,187000000,183086495.2,107626.908,107250
Abilify Maintena,2017,Aripiprazole,1,254000000,254301150.5,138628.761,136814
Abraxane,2013,Paclitaxel Protein-Bound,1,31500000,30007138.57,54262.62,16121
Abraxane,2014,Paclitaxel Protein-Bound,1,41800000,40455277.81,75946.394,21034
Abraxane,2015,Paclitaxel Protein-Bound,1,48300000,46869251.18,55279.491,24307
Abraxane,2016,Paclitaxel Protein-Bound,1,55900000,54780249.93,68676.229,25426
Abraxane,2017,Paclitaxel Protein-Bound,1,54500000,54460289.95,58501.606,25914
Absorica,2013,Isotretinoin,1,878000,835926.31,39351,824
Absorica,2014,Isotretinoin,1,5310000,5136130.84,216631,4237
Absorica,2015,Isotretinoin,1,5470000,5306360.56,220330,4310
Absorica,2016,Isotretinoin,1,6540000,6411713.97,242554,4690
Absorica,2017,Isotretinoin,1,9780000,9781028.68,306995,5986
Acamprosate Calcium,2013,Acamprosate Calcium,1,641000,610359.29,577968,3728
Acamprosate Calcium,2014,Acamprosate Calcium,3,2533290,2451876.8000000003,2636263,17564
Acamprosate Calcium,2015,Acamprosate Calcium,3,4222500,4096887.2699999996,4525166.041,30491
Acamprosate Calcium,2016,Acamprosate Calcium,4,5657600,5544914.66,5590492,37793
Acamprosate Calcium,2017,Acamprosate Calcium,4,5299000,5295325.78,5695322,39531
Acanya,2013,Clindamycin Phos/Benzoyl Perox,1,474000,451461.31,78360.001,1570
Acanya,2014,Clindamycin Phos/Benzoyl Perox,1,704000,681796.84,96552,1932
Acanya,2015,Clindamycin Phos/Benzoyl Perox,1,859000,833988.03,103630.001,2063
Acanya,2016,Clindamycin Phos/Benzoyl Perox,1,810000,793999.27,94795,1883
Acanya,2017,Clindamycin Phos/Benzoyl Perox,1,888000,888163.97,95775,1926
Acarbose,2013,Acarbose,7,2163300,2060782.04,4064917.36,46200
Acarbose,2014,Acarbose,9,2358150,2282710.08,4119702.1799999997,47678
Acarbose,2015,Acarbose,9,3385300,3282757.68,5121383,57507
Acarbose,2016,Acarbose,9,3495700,3425395.79,5583044.59,62670
Acarbose,2017,Acarbose,9,2061290,2061237.4200000002,5646508.75,64023
Accupril,2013,Quinapril HCl,1,1440,1372.2,1065,23
Accupril,2014,Quinapril HCl,1,3900,3775.37,1926,49
Accupril,2015,Quinapril HCl,1,8920,8655.8,3237,78
Accupril,2016,Quinapril HCl,1,11400,11183.65,3270,74
Accupril,2017,Quinapril HCl,1,11800,11794.79,2755,80
Acebutolol HCl,2013,Acebutolol HCl,2,118100,112454.77,339645.79000000004,6364
Acebutolol HCl,2014,Acebutolol HCl,2,107600,104142.41,349192,6333
Acebutolol HCl,2015,Acebutolol HCl,2,115400,111961.14,401713.601,7308
Acebutolol HCl,2016,Acebutolol HCl,2,122300,119847.98,407998,7450
Acebutolol HCl,2017,Acebutolol HCl,2,125700,125696.68000000001,423812,7640
Acephen,2013,Acetaminophen,1,112,106.91,139,11
Acephen,2014,Acetaminophen,1,44.3,42.91,22.423,11
Acephen,2015,Acetaminophen,1,122,118.81,157.991,37
Acephen,2016,Acetaminophen,1,238,233.43,235.586,180
Acephen,2017,Acetaminophen,1,3510,3508.86,2205.141,129
Acetaminophen-Codeine,2013,Acetaminophen With Codeine,10,17248100,16424994.43,112153971.124,2189668
Acetaminophen-Codeine,2014,Acetaminophen With Codeine,11,16284860,15761861.52,98533900.144,2185745
Acetaminophen-Codeine,2015,Acetaminophen With Codeine,11,24330000,23618766.169999998,136361761.31100002,3011995
Acetaminophen-Codeine,2016,Acetaminophen With Codeine,11,24625200,24134095.05,126447517.311,2905609
Acetaminophen-Codeine,2017,Acetaminophen With Codeine,11,20496540,20505489.63,99496936.48,2465018
Acetazolamide,2013,Acetazolamide,6,6996600,6662957.899999999,5605549.302999999,80451
Acetazolamide,2014,Acetazolamide,6,12658400,12253534.55,6388269.089,92222
Acetazolamide,2015,Acetazolamide,6,17456600,16950933.71,8053086.726,112515
Acetazolamide,2016,Acetazolamide,6,19528600,19133744.98,9193122.669,125630
Acetazolamide,2017,Acetazolamide,6,16951400,16949737.91,9121369.114,125573
Acetic Acid*,2013,Acetic Acid,6,488060,464641.96,7828688.34,18629
Acetic Acid*,2014,Acetic Acid,6,517260,501017.34,8175152.531,19623
Acetic Acid*,2015,Acetic Acid,6,616900,598728.61,7552939.9969999995,23110
Acetic Acid*,2016,Acetic Acid,6,672390,659154.21,8035162.249,28088
Acetic Acid*,2017,Acetic Acid,6,697130,696931.23,8461046.998,30087
Acetic Acid-Aluminum,2013,Acetic Acid/Aluminum Acetate,1,84200,80165.1,84451.825,1411
Acetic Acid-Aluminum,2014,Acetic Acid/Aluminum Acetate,1,111000,107389.28,73212.73,1235
Acetic Acid-Aluminum,2015,Acetic Acid/Aluminum Acetate,1,126000,122234.56,102938.999,1715
Acetic Acid-Aluminum,2016,Acetic Acid/Aluminum Acetate,1,108000,106052.32,106357.999,1764
Acetic Acid-Aluminum,2017,Acetic Acid/Aluminum Acetate,1,30900,30918.49,33842,569
Acetylcysteine*,2013,Acetylcysteine,4,853000,812537.16,644032.895,6981
Acetylcysteine*,2014,Acetylcysteine,5,1117130,1081432.18,1428299.45,13294
Acetylcysteine*,2015,Acetylcysteine,5,1578810,1533324.25,2020053.4309999999,17407
Acetylcysteine*,2016,Acetylcysteine,6,1807100,1770762.02,2450978.532,19495
Acetylcysteine*,2017,Acetylcysteine,6,2398900,2398829.85,2718423.7539999997,21651
Aciphex,2013,Rabeprazole Sodium,1,28500000,27115198.55,2595814.965,68370
Aciphex,2014,Rabeprazole Sodium,1,10900000,10572674.72,892561,23639
Aciphex,2015,Rabeprazole Sodium,1,2640000,2559491.91,197233,4881
Aciphex,2016,Rabeprazole Sodium,1,1760000,1724069.91,126756.5,3024
Aciphex,2017,Rabeprazole Sodium,1,1330000,1327025.81,83960,2024
Acitretin,2013,Acitretin,2,1845000,1761571.9300000002,64537,1816
Acitretin,2014,Acitretin,2,5720000,5534419.02,201601.001,5764
Acitretin,2015,Acitretin,3,7520700,7305810.140000001,246719,6808
Acitretin,2016,Acitretin,5,7168000,7025846.86,269785,7395
Acitretin,2017,Acitretin,5,4632000,4637336.57,243694.8,6912
Actemra*,2013,Tocilizumab,1,10600000,10112608.14,174870.288,8382
Actemra*,2014,Tocilizumab,1,17500000,16932857.81,238826.69,11851
Actemra*,2015,Tocilizumab,1,27300000,26467567.1,259948.785,16192
Actemra*,2016,Tocilizumab,1,37300000,36509797.97,297533.851,19854
Actemra*,2017,Tocilizumab,1,48000000,48017654.03,356472.068,23718
Actigall,2013,Ursodiol,1,47000,44720.88,7951.1,150
Actigall,2014,Ursodiol,1,66900,64728.24,10824.267,176
Actigall,2015,Ursodiol,1,84100,81652.15,11316.18,185
Actigall,2016,Ursodiol,1,492000,481640.25,61273.477,960
Actigall,2017,Ursodiol,1,466000,465870.69,53691.499,830
Actimmune,2013,"Interferon Gamma-1b,Recomb.",1,370000,352342.79,102,17
Actimmune,2014,"Interferon Gamma-1b,Recomb.",1,25700000,24921211.64,6347,1043
Actimmune,2015,"Interferon Gamma-1b,Recomb.",1,52500000,51007253.94,8504,1437
Actimmune,2016,"Interferon Gamma-1b,Recomb.",1,63500000,62266022.91,8589,1443
Actimmune,2017,"Interferon Gamma-1b,Recomb.",1,63900000,63871695.47,8117.75,1372
Actonel,2013,Risedronate Sodium,1,4960000,4723217.77,95391.989,31974
Actonel,2014,Risedronate Sodium,1,3700000,3579651.41,59908.714,17543
Actonel,2015,Risedronate Sodium,1,2710000,2633111.59,33392,8793
Actonel,2016,Risedronate Sodium,1,677000,663042.49,8255,2469
Actonel,2017,Risedronate Sodium,1,251000,251232.36,2714,824
Actoplus Met XR,2013,Pioglitazone HCl/Metformin HCl,1,462000,440362.89,60448,1326
Actoplus Met XR,2014,Pioglitazone HCl/Metformin HCl,1,409000,395688.51,44486,990
Actoplus Met XR,2015,Pioglitazone HCl/Metformin HCl,1,430000,417505.38,37428,888
Actoplus Met XR,2016,Pioglitazone HCl/Metformin HCl,1,420000,411146.93,33598,746
Actoplus Met XR,2017,Pioglitazone HCl/Metformin HCl,1,388000,387834.23,28086,628
Actos,2013,Pioglitazone HCl,1,17900000,17046223.36,1736578.231,51182
Actos,2014,Pioglitazone HCl,1,5100000,4932191.64,407338.5,11318
Actos,2015,Pioglitazone HCl,1,1030000,1004126.83,71110,2109
Actos,2016,Pioglitazone HCl,1,410000,401410.6,31195,954
Actos,2017,Pioglitazone HCl,1,221000,220895.99,13327,432
Acular,2013,Ketorolac Tromethamine,1,132000,125650.37,4064,739
Acular,2014,Ketorolac Tromethamine,1,179000,173592.33,4843,888
Acular,2015,Ketorolac Tromethamine,1,188000,182166.55,5256,969
Acular,2016,Ketorolac Tromethamine,1,182000,178218.82,4378,784
Acular,2017,Ketorolac Tromethamine,1,73300,73307.93,1440,278
Acuvail,2013,Ketorolac Tromethamine/PF,1,78400,74707.02,7339.2,409
Acuvail,2014,Ketorolac Tromethamine/PF,1,87100,84334.91,6248.4,404
Acuvail,2015,Ketorolac Tromethamine/PF,1,73100,70972.57,4331.4,291
Acuvail,2016,Ketorolac Tromethamine/PF,1,93700,91828.44,4890,348
Acuvail,2017,Ketorolac Tromethamine/PF,1,83300,83310.42,3813,284
Acyclovir Sodium,2013,Acyclovir Sodium,1,168000,159733.79,94964.059,1138
Acyclovir Sodium,2014,Acyclovir Sodium,2,192000,186245.49,130105.826,1255
Acyclovir Sodium,2015,Acyclovir Sodium,2,229500,222389.07,125295.029,1308
Acyclovir Sodium,2016,Acyclovir Sodium,2,208300,203829.86,138424.079,1685
Acyclovir Sodium,2017,Acyclovir Sodium,2,209000,209830.92,152912.381,1622
Acyclovir*,2013,Acyclovir,10,22822600,21776460.33,45762097.888000004,806850
Acyclovir*,2014,Acyclovir,17,34100989,32994294.86,51849881.311,972237
Acyclovir*,2015,Acyclovir,17,46375175,45035401.019999996,63673298.459,1183856
Acyclovir*,2016,Acyclovir,19,44731739,43837257.72,64763403.86,1239354
Acyclovir*,2017,Acyclovir,19,31317412,31327616.39,61447226.491000004,1175695
Aczone,2013,Dapsone,1,1410000,1339138.84,226310.001,4687
Aczone,2014,Dapsone,1,2470000,2393144.43,362133.001,7356
Aczone,2015,Dapsone,1,3340000,3240162.32,437769,8757
Aczone,2016,Dapsone,1,4800000,4701292.28,598688,10326
Aczone,2017,Dapsone,1,5970000,5966526.43,707125,10735
Adagen,2013,PEGademase Bovine,1,7420000,7066471.45,3442.5,175
Adagen,2014,PEGademase Bovine,1,12600000,12161888.56,4484.7,276
Adagen,2015,PEGademase Bovine,1,12700000,12349482.58,4531.5,247
Adagen,2016,PEGademase Bovine,1,13000000,12741092.03,4075.9,188
Adagen,2017,PEGademase Bovine,1,11200000,11177138.14,3310.5,161
Adapalene,2013,Adapalene,5,5404000,5146389.62,1537544.03,34027
Adapalene,2014,Adapalene,7,6948000,6732346.8100000005,1984270.695,44105
Adapalene,2015,Adapalene,8,8598000,8349955.82,2470739.001,54535
Adapalene,2016,Adapalene,8,9633000,9438561.62,2867803,63383
Adapalene,2017,Adapalene,8,8729000,8737902.46,2719563,60020
Adcetris,2013,Brentuximab Vedotin,1,7770000,7404500.6,1679.52,643
Adcetris,2014,Brentuximab Vedotin,1,10100000,9814647.38,2369.89,773
Adcetris,2015,Brentuximab Vedotin,1,17100000,16631950.29,2785.156,1128
Adcetris,2016,Brentuximab Vedotin,1,22000000,21549137.71,4297.44,1371
Adcetris,2017,Brentuximab Vedotin,1,27500000,27547813.32,3786.313,1713
Adcirca,2013,Tadalafil,1,17100000,16270167.26,597616.88,11063
Adcirca,2014,Tadalafil,1,22400000,21708202.25,656697.988,12710
Adcirca,2015,Tadalafil,1,33600000,32663944.58,785574.571,15230
Adcirca,2016,Tadalafil,1,52600000,51566476.88,932995.905,18057
Adcirca,2017,Tadalafil,1,59100000,59091038.75,1016860.178,19920
Adderall XR,2013,Dextroamphetamine/Amphetamine,1,396000000,377512240.4,51845197.01,1519701
Adderall XR,2014,Dextroamphetamine/Amphetamine,1,413000000,399346957.4,54756981.59,1612001
Adderall XR,2015,Dextroamphetamine/Amphetamine,1,463000000,449228647.3,61848511.01,1813532
Adderall XR,2016,Dextroamphetamine/Amphetamine,1,440000000,431152306.3,60765330.99,1778466
Adderall XR,2017,Dextroamphetamine/Amphetamine,1,381000000,380905273,55353362.8,1633087
Adefovir Dipivoxil,2013,Adefovir Dipivoxil,1,931000,886816.16,29995,1011
Adefovir Dipivoxil,2014,Adefovir Dipivoxil,1,3160000,3055503.74,107778,3660
Adefovir Dipivoxil,2015,Adefovir Dipivoxil,1,3200000,3109006.07,113599,3770
Adefovir Dipivoxil,2016,Adefovir Dipivoxil,1,2730000,2674674.27,97032,3189
Adefovir Dipivoxil,2017,Adefovir Dipivoxil,1,2060000,2064650.51,78834,2631
Adempas,2013,Riociguat,1,146000,138855.81,1620,18
Adempas,2014,Riociguat,1,5050000,4890898.88,56719,673
Adempas,2015,Riociguat,1,12000000,11656949.08,125075,1474
Adempas,2016,Riociguat,1,21500000,21044375.96,213520,2578
Adempas,2017,Riociguat,1,31600000,31552754.84,297942,3521
Adriamycin,2013,Doxorubicin HCl,1,91600,87246.01,20731.5,578
Adriamycin,2014,Doxorubicin HCl,1,10200,9866.42,4409.01,122
Adriamycin,2015,Doxorubicin HCl,1,9030,8763.23,3908.4,102
Adriamycin,2016,Doxorubicin HCl,1,3340,3270.63,2675.2,53
Adriamycin,2017,Doxorubicin HCl,1,4610,4612.1,2865,74
