Manufacturer,Year,avg_spend_per_claim_status,manufacturer_diff,price_status_drugs
Hospira/Pfizer,2013,above_average,17938203.730000004,35
Hospira/Pfizer,2013,at_average,0,43
Hospira/Pfizer,2013,below_average,-17609536.14,45
Hospira/Pfizer,2014,above_average,9959344.54,42
Hospira/Pfizer,2014,at_average,0,37
Hospira/Pfizer,2014,below_average,-22885536.08,46
Hospira/Pfizer,2015,above_average,30470801.42,47
Hospira/Pfizer,2015,at_average,0,38
Hospira/Pfizer,2015,below_average,-29174159.5,46
Hospira/Pfizer,2016,above_average,27429104.400000002,47
Hospira/Pfizer,2016,at_average,0,36
Hospira/Pfizer,2016,below_average,-31360457.290000003,49
Hospira/Pfizer,2017,above_average,52098569.07,48
Hospira/Pfizer,2017,at_average,0,37
Hospira/Pfizer,2017,below_average,-22014752.599999998,47
Hospira,2013,above_average,3524558.6,5
Hospira,2013,at_average,0,1
Hospira,2013,below_average,-13766.516,1
Hospira,2014,above_average,1330512.4999999998,4
Hospira,2014,at_average,0,1
Hospira,2014,below_average,-18288.48,2
Hospira,2015,above_average,1152284.1,2
Hospira,2015,at_average,0,1
Hospira,2015,below_average,-111850.084,4
Hospira,2016,above_average,338340.7,3
Hospira,2016,at_average,0,1
Hospira,2016,below_average,-55741.030000000006,4
Hospira,2017,above_average,990201.7999999999,4
Hospira,2017,at_average,0,1
Hospira,2017,below_average,-48940.075,3
Apotex Corp,2013,above_average,13344626.200000001,40
Apotex Corp,2013,at_average,0,8
Apotex Corp,2013,below_average,-13394145.689999998,44
Apotex Corp,2014,above_average,12639597.78,42
Apotex Corp,2014,at_average,0,8
Apotex Corp,2014,below_average,-398178760.57,54
Apotex Corp,2015,above_average,15082397.709999999,42
Apotex Corp,2015,at_average,0,6
Apotex Corp,2015,below_average,-22131678.259999998,62
Apotex Corp,2016,above_average,37702016.5,49
Apotex Corp,2016,at_average,0,6
Apotex Corp,2016,below_average,-23442912.780000005,61
Apotex Corp,2017,above_average,35113030.33,51
Apotex Corp,2017,at_average,0,8
Apotex Corp,2017,below_average,-14642110.540000008,57
Aurobindo Pharm,2013,above_average,5000711.58,31
Aurobindo Pharm,2013,at_average,0,1
Aurobindo Pharm,2013,below_average,-15532715.079999998,45
Aurobindo Pharm,2014,above_average,12906293.89,35
