Brand Name,Year,brandspend,branddose,brandclaims,brandbens,avgspendperclaim,nomchngspend,nomchngdose,nomchngclaims,nomchngbens,nomchngspendperclaim,perchngspend,perchngdose,perchngclaims,perchngbens,perchngspendperclaim,Description
HyperHEP B S-D*,2013,301000,2708,709,228,424.54160789844855,-40000,-300,-304,-61,219.9028365459959,-0.13289036544850497,-0.1107828655834564,-0.4287729196050776,-0.26754385964912286,0.5179771133259504,This medication is used to prevent a certain serious virus infection (hepatitis B) in people who have been exposed to this virus under certain conditions (such as direct contact with blood or body fluids containing this virus). Certain brands of this medication may also be given after a liver transplant to prevent return of hepatitis B infection in people with previous infection. Ask your doctor or pharmacist if you have questions about your particular brand. This medication is made from healthy human blood that has high levels of certain defensive substances (antibodies) that help fight hepatitis B.
HyperHEP B S-D*,2014,244000,2101,633,196,385.4660347551343,-40000,-300,-304,-61,219.9028365459959,-0.13289036544850497,-0.1107828655834564,-0.4287729196050776,-0.26754385964912286,0.5179771133259504,This medication is used to prevent a certain serious virus infection (hepatitis B) in people who have been exposed to this virus under certain conditions (such as direct contact with blood or body fluids containing this virus). Certain brands of this medication may also be given after a liver transplant to prevent return of hepatitis B infection in people with previous infection. Ask your doctor or pharmacist if you have questions about your particular brand. This medication is made from healthy human blood that has high levels of certain defensive substances (antibodies) that help fight hepatitis B.
HyperHEP B S-D*,2015,265000,2316,620,192,427.4193548387097,-40000,-300,-304,-61,219.9028365459959,-0.13289036544850497,-0.1107828655834564,-0.4287729196050776,-0.26754385964912286,0.5179771133259504,This medication is used to prevent a certain serious virus infection (hepatitis B) in people who have been exposed to this virus under certain conditions (such as direct contact with blood or body fluids containing this virus). Certain brands of this medication may also be given after a liver transplant to prevent return of hepatitis B infection in people with previous infection. Ask your doctor or pharmacist if you have questions about your particular brand. This medication is made from healthy human blood that has high levels of certain defensive substances (antibodies) that help fight hepatitis B.
HyperHEP B S-D*,2016,241000,2143,506,160,476.2845849802371,-40000,-300,-304,-61,219.9028365459959,-0.13289036544850497,-0.1107828655834564,-0.4287729196050776,-0.26754385964912286,0.5179771133259504,This medication is used to prevent a certain serious virus infection (hepatitis B) in people who have been exposed to this virus under certain conditions (such as direct contact with blood or body fluids containing this virus). Certain brands of this medication may also be given after a liver transplant to prevent return of hepatitis B infection in people with previous infection. Ask your doctor or pharmacist if you have questions about your particular brand. This medication is made from healthy human blood that has high levels of certain defensive substances (antibodies) that help fight hepatitis B.
HyperHEP B S-D*,2017,261000,2408,405,167,644.4444444444445,-40000,-300,-304,-61,219.9028365459959,-0.13289036544850497,-0.1107828655834564,-0.4287729196050776,-0.26754385964912286,0.5179771133259504,This medication is used to prevent a certain serious virus infection (hepatitis B) in people who have been exposed to this virus under certain conditions (such as direct contact with blood or body fluids containing this virus). Certain brands of this medication may also be given after a liver transplant to prevent return of hepatitis B infection in people with previous infection. Ask your doctor or pharmacist if you have questions about your particular brand. This medication is made from healthy human blood that has high levels of certain defensive substances (antibodies) that help fight hepatitis B.
BCG (Tice Strain) (90586)*,2013,25400,207,207,49,122.70531400966183,-18530,-147,-147,-31,-8.205314009661834,-0.7295275590551181,-0.7101449275362319,-0.7101449275362319,-0.6326530612244898,-0.06687007874015746,This vaccine is used to prevent tuberculosis (TB) in people who have not been infected with the disease but are at a high risk of getting it. This vaccine is not used to treat tuberculosis. This vaccine contains live bacteria that have been weakened. It works by causing the body to produce its own protection (antibodies) against the bacteria that causes tuberculosis. This form of the vaccine is not used to treat or prevent bladder cancer.
BCG (Tice Strain) (90586)*,2014,44400,361,337,62,131.7507418397626,-18530,-147,-147,-31,-8.205314009661834,-0.7295275590551181,-0.7101449275362319,-0.7101449275362319,-0.6326530612244898,-0.06687007874015746,This vaccine is used to prevent tuberculosis (TB) in people who have not been infected with the disease but are at a high risk of getting it. This vaccine is not used to treat tuberculosis. This vaccine contains live bacteria that have been weakened. It works by causing the body to produce its own protection (antibodies) against the bacteria that causes tuberculosis. This form of the vaccine is not used to treat or prevent bladder cancer.
BCG (Tice Strain) (90586)*,2015,38400,312,308,71,124.67532467532467,-18530,-147,-147,-31,-8.205314009661834,-0.7295275590551181,-0.7101449275362319,-0.7101449275362319,-0.6326530612244898,-0.06687007874015746,This vaccine is used to prevent tuberculosis (TB) in people who have not been infected with the disease but are at a high risk of getting it. This vaccine is not used to treat tuberculosis. This vaccine contains live bacteria that have been weakened. It works by causing the body to produce its own protection (antibodies) against the bacteria that causes tuberculosis. This form of the vaccine is not used to treat or prevent bladder cancer.
BCG (Tice Strain) (90586)*,2016,26500,214,204,54,129.90196078431373,-18530,-147,-147,-31,-8.205314009661834,-0.7295275590551181,-0.7101449275362319,-0.7101449275362319,-0.6326530612244898,-0.06687007874015746,This vaccine is used to prevent tuberculosis (TB) in people who have not been infected with the disease but are at a high risk of getting it. This vaccine is not used to treat tuberculosis. This vaccine contains live bacteria that have been weakened. It works by causing the body to produce its own protection (antibodies) against the bacteria that causes tuberculosis. This form of the vaccine is not used to treat or prevent bladder cancer.
BCG (Tice Strain) (90586)*,2017,6870,60,60,18,114.5,-18530,-147,-147,-31,-8.205314009661834,-0.7295275590551181,-0.7101449275362319,-0.7101449275362319,-0.6326530612244898,-0.06687007874015746,This vaccine is used to prevent tuberculosis (TB) in people who have not been infected with the disease but are at a high risk of getting it. This vaccine is not used to treat tuberculosis. This vaccine contains live bacteria that have been weakened. It works by causing the body to produce its own protection (antibodies) against the bacteria that causes tuberculosis. This form of the vaccine is not used to treat or prevent bladder cancer.
Havrix*,2013,28900,605,605,545,47.768595041322314,-7600,-175,-175,-136,1.7662886796079178,-0.26297577854671284,-0.2892561983471075,-0.2892561983471075,-0.24954128440366974,0.03697593948660174,"This vaccine is used to help prevent infection from the hepatitis A virus. Hepatitis A infection can be mild with no symptoms or a severe illness that can rarely cause liver failure and death. Preventing infection can prevent these problems. Hepatitis A vaccine is made from whole, killed hepatitis A virus. It does not contain live virus, so you cannot get hepatitis from the vaccine. This vaccine works by helping the body produce immunity (through antibody production) that will prevent you from getting infection from hepatitis A virus. Hepatitis A vaccine does not protect you from other virus infections (such as HIV virus, which causes AIDS; hepatitis B, hepatitis C or hepatitis E; HPV virus, which causes genital warts and other problems). The vaccine is recommended for people aged 12 months and older, especially those at an increased risk of getting the infection. Those at an increased risk include people who live with or spend much time with people with hepatitis A infections, institutional or daycare workers, lab workers, people with multiple sex partners, men who have sex with men, sex workers, injecting and non-injecting drug abusers, and people traveling to high-risk areas."
Havrix*,2014,14900,275,274,249,54.37956204379562,-7600,-175,-175,-136,1.7662886796079178,-0.26297577854671284,-0.2892561983471075,-0.2892561983471075,-0.24954128440366974,0.03697593948660174,"This vaccine is used to help prevent infection from the hepatitis A virus. Hepatitis A infection can be mild with no symptoms or a severe illness that can rarely cause liver failure and death. Preventing infection can prevent these problems. Hepatitis A vaccine is made from whole, killed hepatitis A virus. It does not contain live virus, so you cannot get hepatitis from the vaccine. This vaccine works by helping the body produce immunity (through antibody production) that will prevent you from getting infection from hepatitis A virus. Hepatitis A vaccine does not protect you from other virus infections (such as HIV virus, which causes AIDS; hepatitis B, hepatitis C or hepatitis E; HPV virus, which causes genital warts and other problems). The vaccine is recommended for people aged 12 months and older, especially those at an increased risk of getting the infection. Those at an increased risk include people who live with or spend much time with people with hepatitis A infections, institutional or daycare workers, lab workers, people with multiple sex partners, men who have sex with men, sex workers, injecting and non-injecting drug abusers, and people traveling to high-risk areas."
Havrix*,2015,13900,272,272,252,51.10294117647059,-7600,-175,-175,-136,1.7662886796079178,-0.26297577854671284,-0.2892561983471075,-0.2892561983471075,-0.24954128440366974,0.03697593948660174,"This vaccine is used to help prevent infection from the hepatitis A virus. Hepatitis A infection can be mild with no symptoms or a severe illness that can rarely cause liver failure and death. Preventing infection can prevent these problems. Hepatitis A vaccine is made from whole, killed hepatitis A virus. It does not contain live virus, so you cannot get hepatitis from the vaccine. This vaccine works by helping the body produce immunity (through antibody production) that will prevent you from getting infection from hepatitis A virus. Hepatitis A vaccine does not protect you from other virus infections (such as HIV virus, which causes AIDS; hepatitis B, hepatitis C or hepatitis E; HPV virus, which causes genital warts and other problems). The vaccine is recommended for people aged 12 months and older, especially those at an increased risk of getting the infection. Those at an increased risk include people who live with or spend much time with people with hepatitis A infections, institutional or daycare workers, lab workers, people with multiple sex partners, men who have sex with men, sex workers, injecting and non-injecting drug abusers, and people traveling to high-risk areas."
Havrix*,2016,12100,230,230,216,52.608695652173914,-7600,-175,-175,-136,1.7662886796079178,-0.26297577854671284,-0.2892561983471075,-0.2892561983471075,-0.24954128440366974,0.03697593948660174,"This vaccine is used to help prevent infection from the hepatitis A virus. Hepatitis A infection can be mild with no symptoms or a severe illness that can rarely cause liver failure and death. Preventing infection can prevent these problems. Hepatitis A vaccine is made from whole, killed hepatitis A virus. It does not contain live virus, so you cannot get hepatitis from the vaccine. This vaccine works by helping the body produce immunity (through antibody production) that will prevent you from getting infection from hepatitis A virus. Hepatitis A vaccine does not protect you from other virus infections (such as HIV virus, which causes AIDS; hepatitis B, hepatitis C or hepatitis E; HPV virus, which causes genital warts and other problems). The vaccine is recommended for people aged 12 months and older, especially those at an increased risk of getting the infection. Those at an increased risk include people who live with or spend much time with people with hepatitis A infections, institutional or daycare workers, lab workers, people with multiple sex partners, men who have sex with men, sex workers, injecting and non-injecting drug abusers, and people traveling to high-risk areas."
Havrix*,2017,21300,430,430,409,49.53488372093023,-7600,-175,-175,-136,1.7662886796079178,-0.26297577854671284,-0.2892561983471075,-0.2892561983471075,-0.24954128440366974,0.03697593948660174,"This vaccine is used to help prevent infection from the hepatitis A virus. Hepatitis A infection can be mild with no symptoms or a severe illness that can rarely cause liver failure and death. Preventing infection can prevent these problems. Hepatitis A vaccine is made from whole, killed hepatitis A virus. It does not contain live virus, so you cannot get hepatitis from the vaccine. This vaccine works by helping the body produce immunity (through antibody production) that will prevent you from getting infection from hepatitis A virus. Hepatitis A vaccine does not protect you from other virus infections (such as HIV virus, which causes AIDS; hepatitis B, hepatitis C or hepatitis E; HPV virus, which causes genital warts and other problems). The vaccine is recommended for people aged 12 months and older, especially those at an increased risk of getting the infection. Those at an increased risk include people who live with or spend much time with people with hepatitis A infections, institutional or daycare workers, lab workers, people with multiple sex partners, men who have sex with men, sex workers, injecting and non-injecting drug abusers, and people traveling to high-risk areas."
Prevnar 13,2013,20000000,140244,140067,137909,142.78880821321223,457000000,2538865.7,2538809,2522167,35.270945205759006,22.85,18.103203702119163,18.125675569548857,18.288632359019353,0.24701477410675235,"This vaccine is used to help protect from infection due to a certain bacteria (Streptococcus pneumoniae). This bacteria can cause ear infection or other more serious infections (such as pneumonia, meningitis). Some brands are approved for use only in children, while others can be used in both children and adults. Vaccines may not fully protect everyone who receives them. Another form of this vaccine should be used if the child or adult has certain medical conditions (such as heart disease, lung disease, liver disease, diabetes, spleen problems, sickle cell anemia, HIV infection). Talk to your health care professional for more details."
Prevnar 13,2014,107000000,720951.5,720764,716661,148.453585362199,457000000,2538865.7,2538809,2522167,35.270945205759006,22.85,18.103203702119163,18.125675569548857,18.288632359019353,0.24701477410675235,"This vaccine is used to help protect from infection due to a certain bacteria (Streptococcus pneumoniae). This bacteria can cause ear infection or other more serious infections (such as pneumonia, meningitis). Some brands are approved for use only in children, while others can be used in both children and adults. Vaccines may not fully protect everyone who receives them. Another form of this vaccine should be used if the child or adult has certain medical conditions (such as heart disease, lung disease, liver disease, diabetes, spleen problems, sickle cell anemia, HIV infection). Talk to your health care professional for more details."
Prevnar 13,2015,941000000,5754966.1,5743305,5693733,163.84294408881297,457000000,2538865.7,2538809,2522167,35.270945205759006,22.85,18.103203702119163,18.125675569548857,18.288632359019353,0.24701477410675235,"This vaccine is used to help protect from infection due to a certain bacteria (Streptococcus pneumoniae). This bacteria can cause ear infection or other more serious infections (such as pneumonia, meningitis). Some brands are approved for use only in children, while others can be used in both children and adults. Vaccines may not fully protect everyone who receives them. Another form of this vaccine should be used if the child or adult has certain medical conditions (such as heart disease, lung disease, liver disease, diabetes, spleen problems, sickle cell anemia, HIV infection). Talk to your health care professional for more details."
Prevnar 13,2016,681000000,4006449.1,3953861,3925000,172.23670736022333,457000000,2538865.7,2538809,2522167,35.270945205759006,22.85,18.103203702119163,18.125675569548857,18.288632359019353,0.24701477410675235,"This vaccine is used to help protect from infection due to a certain bacteria (Streptococcus pneumoniae). This bacteria can cause ear infection or other more serious infections (such as pneumonia, meningitis). Some brands are approved for use only in children, while others can be used in both children and adults. Vaccines may not fully protect everyone who receives them. Another form of this vaccine should be used if the child or adult has certain medical conditions (such as heart disease, lung disease, liver disease, diabetes, spleen problems, sickle cell anemia, HIV infection). Talk to your health care professional for more details."
Prevnar 13,2017,477000000,2679109.7,2678876,2660076,178.05975341897124,457000000,2538865.7,2538809,2522167,35.270945205759006,22.85,18.103203702119163,18.125675569548857,18.288632359019353,0.24701477410675235,"This vaccine is used to help protect from infection due to a certain bacteria (Streptococcus pneumoniae). This bacteria can cause ear infection or other more serious infections (such as pneumonia, meningitis). Some brands are approved for use only in children, while others can be used in both children and adults. Vaccines may not fully protect everyone who receives them. Another form of this vaccine should be used if the child or adult has certain medical conditions (such as heart disease, lung disease, liver disease, diabetes, spleen problems, sickle cell anemia, HIV infection). Talk to your health care professional for more details."
Tenivac*,2013,1110000,54517,54509,54383,20.363609679135557,590000,22796.5,22803,22789,1.6252148241756998,0.5315315315315314,0.4181539703211843,0.4183345869489443,0.41904639317433756,0.07980976112702091,"This vaccine is used to help prevent problems that may occur with 2 bacterial infections in children and adults (tetanus and diphtheria). Tetanus (lockjaw) and diphtheria can cause serious, sometimes fatal problems (heart problems, nerve problems, muscle paralysis). Vaccination is the best way to protect (provide immunity) against these life-threatening diseases. Vaccines work by getting the body to make its own protection (antibodies). This vaccine is recommended for all people 7 years and older. Diphtheria and tetanus toxoids combined (adult) injection should not be used in anyone younger than 7 years because they may not be fully protected by this vaccine. A vaccine for children younger than 7 years is available. Consult your child's health care professional for more information."
Tenivac*,2014,1210000,56611,56611,56496,21.373937927257952,590000,22796.5,22803,22789,1.6252148241756998,0.5315315315315314,0.4181539703211843,0.4183345869489443,0.41904639317433756,0.07980976112702091,"This vaccine is used to help prevent problems that may occur with 2 bacterial infections in children and adults (tetanus and diphtheria). Tetanus (lockjaw) and diphtheria can cause serious, sometimes fatal problems (heart problems, nerve problems, muscle paralysis). Vaccination is the best way to protect (provide immunity) against these life-threatening diseases. Vaccines work by getting the body to make its own protection (antibodies). This vaccine is recommended for all people 7 years and older. Diphtheria and tetanus toxoids combined (adult) injection should not be used in anyone younger than 7 years because they may not be fully protected by this vaccine. A vaccine for children younger than 7 years is available. Consult your child's health care professional for more information."
Tenivac*,2015,1420000,69170.5,69170,69047,20.529131126210785,590000,22796.5,22803,22789,1.6252148241756998,0.5315315315315314,0.4181539703211843,0.4183345869489443,0.41904639317433756,0.07980976112702091,"This vaccine is used to help prevent problems that may occur with 2 bacterial infections in children and adults (tetanus and diphtheria). Tetanus (lockjaw) and diphtheria can cause serious, sometimes fatal problems (heart problems, nerve problems, muscle paralysis). Vaccination is the best way to protect (provide immunity) against these life-threatening diseases. Vaccines work by getting the body to make its own protection (antibodies). This vaccine is recommended for all people 7 years and older. Diphtheria and tetanus toxoids combined (adult) injection should not be used in anyone younger than 7 years because they may not be fully protected by this vaccine. A vaccine for children younger than 7 years is available. Consult your child's health care professional for more information."
Tenivac*,2016,1920000,83504,83502,83325,22.99346123446145,590000,22796.5,22803,22789,1.6252148241756998,0.5315315315315314,0.4181539703211843,0.4183345869489443,0.41904639317433756,0.07980976112702091,"This vaccine is used to help prevent problems that may occur with 2 bacterial infections in children and adults (tetanus and diphtheria). Tetanus (lockjaw) and diphtheria can cause serious, sometimes fatal problems (heart problems, nerve problems, muscle paralysis). Vaccination is the best way to protect (provide immunity) against these life-threatening diseases. Vaccines work by getting the body to make its own protection (antibodies). This vaccine is recommended for all people 7 years and older. Diphtheria and tetanus toxoids combined (adult) injection should not be used in anyone younger than 7 years because they may not be fully protected by this vaccine. A vaccine for children younger than 7 years is available. Consult your child's health care professional for more information."
Tenivac*,2017,1700000,77313.5,77312,77172,21.988824503311257,590000,22796.5,22803,22789,1.6252148241756998,0.5315315315315314,0.4181539703211843,0.4183345869489443,0.41904639317433756,0.07980976112702091,"This vaccine is used to help prevent problems that may occur with 2 bacterial infections in children and adults (tetanus and diphtheria). Tetanus (lockjaw) and diphtheria can cause serious, sometimes fatal problems (heart problems, nerve problems, muscle paralysis). Vaccination is the best way to protect (provide immunity) against these life-threatening diseases. Vaccines work by getting the body to make its own protection (antibodies). This vaccine is recommended for all people 7 years and older. Diphtheria and tetanus toxoids combined (adult) injection should not be used in anyone younger than 7 years because they may not be fully protected by this vaccine. A vaccine for children younger than 7 years is available. Consult your child's health care professional for more information."
Adacel Tdap*,2013,1440000,40449.5,40445,40370,35.60390653974533,1400000,52766,52769,52640,-5.136380202499854,0.9722222222222223,1.3044907848057457,1.304710100135987,1.3039385682437454,-0.14426451200701848,"This vaccine is used to keep up protection (immunity) against diphtheria, tetanus (lockjaw) and pertussis (whooping cough) in children and adults who have been vaccinated for these diseases in the past. Vaccination is the best way to protect against these life-threatening diseases. Vaccines work by causing the body to produce its own protection (antibodies). Booster doses are needed to keep up immunity because antibody levels may become too low over time to provide the needed protection."
