Brand Name,Year,Generic Name,Category,num_manufac,Inf Total Spend,Total Spending,Total Dosage Units,Total Claims,Total Beneficiaries
1st Tier Unifine Pentips,2013,"Pen Needle, Diabetic",diabetes/insulin,1,99300,94537.7,518920,4376,1620
1st Tier Unifine Pentips,2014,"Pen Needle, Diabetic",diabetes/insulin,1,127000,123285.7,677160,5620,2087
1st Tier Unifine Pentips,2015,"Pen Needle, Diabetic",diabetes/insulin,1,138000,133958.25,717548,5789,2283
1st Tier Unifine Pentips,2016,"Pen Needle, Diabetic",diabetes/insulin,1,220000,215930.43,1050323,8897,3423
1st Tier Unifine Pentips,2017,"Pen Needle, Diabetic",diabetes/insulin,1,218000,217626.4,1012618,8582,3020
Abacavir,2013,Abacavir Sulfate,HIV/AIDS,3,28160000,26828850,3747816,58827,11240
Abacavir,2014,Abacavir Sulfate,HIV/AIDS,4,28820000,27878290.34,4327975.99,68004,12766
Abacavir,2015,Abacavir Sulfate,HIV/AIDS,4,25280000,24504368.4,4410978,68977,13778
Abacavir,2016,Abacavir Sulfate,HIV/AIDS,4,19740000,19337773.990000002,4253663,66526,14357
Abacavir,2017,Abacavir Sulfate,HIV/AIDS,4,16160000,16159350.36,3780784,58678,11718
Abacavir-Lamivudine-Zidovudine,2013,Abacavir/Lamivudine/Zidovudine,HIV/AIDS,1,82100,78230.03,3473,49,49
Abacavir-Lamivudine-Zidovudine,2014,Abacavir/Lamivudine/Zidovudine,HIV/AIDS,1,17700000,17167220.41,766713,12201,1821
Abacavir-Lamivudine-Zidovudine,2015,Abacavir/Lamivudine/Zidovudine,HIV/AIDS,1,17100000,16626213.8,759933,12216,1621
Abacavir-Lamivudine-Zidovudine,2016,Abacavir/Lamivudine/Zidovudine,HIV/AIDS,1,13100000,12787721.57,608455,9768,1333
Abacavir-Lamivudine-Zidovudine,2017,Abacavir/Lamivudine/Zidovudine,HIV/AIDS,1,10200000,10164840.09,468641,7454,973
Abilify,2013,Aripiprazole,mental health,1,2180000000,2078945811,83801287.81,2837765,396575
Abilify,2014,Aripiprazole,mental health,1,2580000000,2494267522,85759856.17,2917840,405001
Abilify,2015,Aripiprazole,mental health,1,1600000000,1552449696,46696195.42,1611148,322485
Abilify,2016,Aripiprazole,mental health,1,93900000,91965210.13,2917397.75,96886,39246
Abilify,2017,Aripiprazole,mental health,1,37700000,37730286.77,1157281.5,32179,6937
Abilify Maintena,2013,Aripiprazole,mental health,1,22300000,21278004.27,14793.7,14694,3986
Abilify Maintena,2014,Aripiprazole,mental health,1,86100000,83362843.56,55133.6,54759,9639
Abilify Maintena,2015,Aripiprazole,mental health,1,153000000,148259378.1,92724.39,92211,14000
Abilify Maintena,2016,Aripiprazole,mental health,1,206000000,201856628.4,117247.314,116230,17158
Abilify Maintena,2017,Aripiprazole,mental health,1,262000000,262099777.9,138170.611,137513,19579
Abraxane,2013,Paclitaxel Protein-Bound,chemotherapy/cancer,1,3060000,2915287.29,3380,557,161
Abraxane,2014,Paclitaxel Protein-Bound,chemotherapy/cancer,1,4700000,4546656.69,5000,835,257
Abraxane,2015,Paclitaxel Protein-Bound,chemotherapy/cancer,1,4620000,4481987.77,4478,824,226
Abraxane,2016,Paclitaxel Protein-Bound,chemotherapy/cancer,1,5580000,5472304.71,4765.6,890,247
Abraxane,2017,Paclitaxel Protein-Bound,chemotherapy/cancer,1,4690000,4693801.6,3783,710,197
Absorica,2013,Isotretinoin,acne,1,40500,38562.6,1660,43,23
Absorica,2014,Isotretinoin,acne,1,143000,138517.18,5251,111,51
Absorica,2015,Isotretinoin,acne,1,143000,139216.71,5110,113,61
Absorica,2016,Isotretinoin,acne,1,127000,124497.92,3960,89,49
Absorica,2017,Isotretinoin,acne,1,203000,203215.12,6000,136,56
Acamprosate Calcium,2013,Acamprosate Calcium,addiction,1,882000,840135.42,792170,4881,2576
Acamprosate Calcium,2014,Acamprosate Calcium,addiction,3,3019720,2922132.52,2978644,18515,7130
Acamprosate Calcium,2015,Acamprosate Calcium,addiction,3,4333000,4203942.33,4512054,28535,10644
Acamprosate Calcium,2016,Acamprosate Calcium,addiction,3,4185300,4100335.98,4419061,27893,10449
Acamprosate Calcium,2017,Acamprosate Calcium,addiction,4,4754100,4752466.78,4779228.01,29922,10685
Acanya,2013,Clindamycin Phos/Benzoyl Perox,acne,1,305000,290935.56,46265,888,574
Acanya,2014,Clindamycin Phos/Benzoyl Perox,acne,1,363000,351156.4,46645,911,572
Acanya,2015,Clindamycin Phos/Benzoyl Perox,acne,1,371000,360520.84,42010,799,452
Acanya,2016,Clindamycin Phos/Benzoyl Perox,acne,1,300000,293488.75,33180,630,354
Acanya,2017,Clindamycin Phos/Benzoyl Perox,acne,1,256000,256440.73,26690,498,275
Acarbose,2013,Acarbose,diabetes/insulin,5,8923000,8492598.620000001,15057638.5,126676,43030
Acarbose,2014,Acarbose,diabetes/insulin,7,9067500,8780156.81,17812074.5,151022,43420
Acarbose,2015,Acarbose,diabetes/insulin,7,9263000,8990758.83,19166912.5,162493,46586
Acarbose,2016,Acarbose,diabetes/insulin,7,9134300,8957901.36,22425205,179544,55703
Acarbose,2017,Acarbose,diabetes/insulin,9,9785280,9779150.15,26338014.42,199122,53242
Accupril,2013,Quinapril HCl,blood pressure,1,1110000,1057706.05,481214,7349,1447
Accupril,2014,Quinapril HCl,blood pressure,1,1080000,1043445.3,414805,6048,1312
Accupril,2015,Quinapril HCl,blood pressure,1,1160000,1121970.82,385162,5701,1076
Accupril,2016,Quinapril HCl,blood pressure,1,2170000,2129447.52,628104,8133,1742
Accupril,2017,Quinapril HCl,blood pressure,1,2560000,2560781.64,629296,8027,1724
Accuretic,2013,Quinapril/Hydrochlorothiazide,blood pressure,1,96900,92285.54,42771,651,133
Accuretic,2014,Quinapril/Hydrochlorothiazide,blood pressure,1,79200,76619.99,31393,465,105
Accuretic,2015,Quinapril/Hydrochlorothiazide,blood pressure,1,79400,77105.43,27320,373,86
Accuretic,2016,Quinapril/Hydrochlorothiazide,blood pressure,1,288000,282084.23,86664,961,225
Accuretic,2017,Quinapril/Hydrochlorothiazide,blood pressure,1,329000,328817.05,84381,986,257
Acebutolol HCl,2013,Acebutolol HCl,blood pressure,2,4090000,3887177.33,11097324,134218,27692
Acebutolol HCl,2014,Acebutolol HCl,blood pressure,2,3640000,3523922.35,11259149,130774,27075
Acebutolol HCl,2015,Acebutolol HCl,blood pressure,2,2840000,2754429.1,10965031,123977,26480
Acebutolol HCl,2016,Acebutolol HCl,blood pressure,2,3780000,3700441.3600000003,10804968.7,119448,25200
Acebutolol HCl,2017,Acebutolol HCl,blood pressure,2,3380000,3383082.8,10582117,112623,27950
Acetaminophen-Codeine,2013,Acetaminophen With Codeine,pain reliever,10,19801260,18873379.73,93637917.634,1475837,688787
Acetaminophen-Codeine,2014,Acetaminophen With Codeine,pain reliever,11,18497250,17940757.900000002,93907281.689,1507985,767458
Acetaminophen-Codeine,2015,Acetaminophen With Codeine,pain reliever,11,29926330,29099221.79,141866384.761,2367900,1335828
Acetaminophen-Codeine,2016,Acetaminophen With Codeine,pain reliever,11,44573570,43739039.49,195305361.085,3394224,1746685
Acetaminophen-Codeine,2017,Acetaminophen With Codeine,pain reliever,12,40611540,40667432.55,204395682.22800002,3581061,1847938
Acetasol HC,2013,Hydrocortisone/Acetic Acid,infection,1,379000,360808.84,20280,1974,1530
Acetasol HC,2014,Hydrocortisone/Acetic Acid,infection,1,155000,150393.92,10580,1023,780
Acetasol HC,2015,Hydrocortisone/Acetic Acid,infection,1,78500,76243,5965,564,462
Acetasol HC,2016,Hydrocortisone/Acetic Acid,infection,1,45300,44388.51,3935,374,306
Acetasol HC,2017,Hydrocortisone/Acetic Acid,infection,1,16000,16012.33,1425,136,112
Acetazolamide,2013,Acetazolamide,altitude sickness,5,16587300,15804001.56,15102922.280000001,253430,94895
Acetazolamide,2014,Acetazolamide,altitude sickness,5,28961000,27968787.94,15753262.5,263373,99551
Acetazolamide,2015,Acetazolamide,altitude sickness,5,34299000,33382723.65,16379334.428,270526,104031
Acetazolamide,2016,Acetazolamide,altitude sickness,5,35956000,35223639.67,18018526.713,297296,112094
Acetazolamide,2017,Acetazolamide,altitude sickness,7,35593600,35639657.83,17870443.201,295186,116212
Acetic Acid*,2013,Acetic Acid,infection,4,630400,599691.0900000001,17444006.8,26806,15593
Acetic Acid*,2014,Acetic Acid,infection,4,481400,466520.64,18084554.33,23339,12644
Acetic Acid*,2015,Acetic Acid,infection,4,489300,474969.79000000004,19487857,24633,13454
Acetic Acid*,2016,Acetic Acid,infection,4,653900,641493.5,18614941.33,30873,18977
Acetic Acid*,2017,Acetic Acid,infection,6,1394800,1395133.67,46982823.16,66888,36396
Acetic Acid-Aluminum,2013,Acetic Acid/Aluminum Acetate,infection,1,335000,319470.77,324115,5283,3868
Acetic Acid-Aluminum,2014,Acetic Acid/Aluminum Acetate,infection,1,263000,254718.58,268015,4393,3227
Acetic Acid-Aluminum,2015,Acetic Acid/Aluminum Acetate,infection,1,281000,272722.06,284784,4633,3348
Acetic Acid-Aluminum,2016,Acetic Acid/Aluminum Acetate,infection,1,260000,254673.41,273549,4454,3335
Acetic Acid-Aluminum,2017,Acetic Acid/Aluminum Acetate,infection,1,81600,81552.09,87713,1428,1238
Acetylcysteine*,2013,Acetylcysteine,lung disease,3,1494500,1422998.42,572492.5,8399,4452
Acetylcysteine*,2014,Acetylcysteine,lung disease,3,1156400,1118706.6600000001,738563.5,11006,4585
Acetylcysteine*,2015,Acetylcysteine,lung disease,3,997000,968620.33,815223.496,12369,4554
Acetylcysteine*,2016,Acetylcysteine,lung disease,3,1408000,1379112.4100000001,1280787.5,17476,5522
Acetylcysteine*,2017,Acetylcysteine,lung disease,4,2339000,2340354.9699999997,2270643.46,28944,9778
Aciphex,2013,Rabeprazole Sodium,acid reflux/ulcer/digestive,1,123000000,117371070.4,11468006,228394,60087
Aciphex,2014,Rabeprazole Sodium,acid reflux/ulcer/digestive,1,33600000,32473502.72,2768705,49210,11838
Aciphex,2015,Rabeprazole Sodium,acid reflux/ulcer/digestive,1,31600000,30715984.1,2200650,36331,7177
Aciphex,2016,Rabeprazole Sodium,acid reflux/ulcer/digestive,1,28400000,27837299.79,1797313,28163,5501
Aciphex,2017,Rabeprazole Sodium,acid reflux/ulcer/digestive,1,25300000,25305061.08,1495019,21943,4461
Acitretin,2013,Acitretin,dermatology,2,10780000,10261958.99,391098,10344,4489
Acitretin,2014,Acitretin,dermatology,2,34300000,33168173.1,1311375,35054,10579
Acitretin,2015,Acitretin,dermatology,3,31936000,30933433.04,1287670,34369,8907
Acitretin,2016,Acitretin,dermatology,3,21920000,21432986.92,1038253,27856,8458
Acitretin,2017,Acitretin,dermatology,5,25780000,25770851.58,1295501,34247,10889
Actemra*,2013,Tocilizumab,arthritis,1,7110000,6774144.99,88210.9,4052,649
Actemra*,2014,Tocilizumab,arthritis,1,25500000,24667721.03,113241.3,12040,2187
Actemra*,2015,Tocilizumab,arthritis,1,44800000,43506165.44,119324.5,17896,2925
Actemra*,2016,Tocilizumab,arthritis,1,62800000,61489156.8,137157.2,22165,3499
Actemra*,2017,Tocilizumab,arthritis,1,86400000,86400039.01,151317.7,27279,4701
Actigall,2013,Ursodiol,liver,1,686000,653386.51,103791,833,169
Actigall,2014,Ursodiol,liver,1,803000,777299.54,117564,860,187
Actigall,2015,Ursodiol,liver,1,861000,835932.32,119153,865,190
Actigall,2016,Ursodiol,liver,1,801000,784865.18,103610,753,157
Actigall,2017,Ursodiol,liver,1,873000,872869.19,101554,728,160
Actimmune,2013,"Interferon Gamma-1b,Recomb.",immune system,1,639000,608973.5,175,21,21
Actimmune,2014,"Interferon Gamma-1b,Recomb.",immune system,1,19100000,18462873.52,4439,543,59
Actimmune,2015,"Interferon Gamma-1b,Recomb.",immune system,1,25000000,24298651.79,3845.5,505,62
Actimmune,2016,"Interferon Gamma-1b,Recomb.",immune system,1,23000000,22560662.62,3113.5,452,64
Actimmune,2017,"Interferon Gamma-1b,Recomb.",immune system,1,21900000,21874057.57,2662,410,50
Actonel,2013,Risedronate Sodium,osteoporosis/bone health,1,181000000,172256361.3,3507298.518,793957,166086
Actonel,2014,Risedronate Sodium,osteoporosis/bone health,1,156000000,151127143.7,2477989.463,497822,118998
Actonel,2015,Risedronate Sodium,osteoporosis/bone health,1,46600000,45287749.15,797304.377,129808,39646
Actonel,2016,Risedronate Sodium,osteoporosis/bone health,1,8930000,8750172.97,112626.5,22130,5951
Actonel,2017,Risedronate Sodium,osteoporosis/bone health,1,4830000,4832386.05,55641,9757,2228
Actoplus Met,2013,Pioglitazone HCl/Metformin HCl,diabetes/insulin,1,7430000,7078323.12,1298708,17841,4935
