Year,Category,brandlvl_spend,brandlvl_claims,brandlvl_avg_spend_perclaim,num_brands
2013,acid reflux/ulcer/digestive,5907779047,75830102,77.9080983828823,71
2014,acid reflux/ulcer/digestive,6331078265,80294349,78.84836658928513,74
2015,acid reflux/ulcer/digestive,6257282068,83125323,75.27528125214022,79
2016,acid reflux/ulcer/digestive,5813747079,82949708,70.08761355736176,79
2017,acid reflux/ulcer/digestive,5618139836,81297691,69.10577369288384,92
2013,addiction,252891800,949925,266.22291233518433,10
2014,addiction,297278720,1113230,267.0415996694304,10
2015,addiction,333216200,1247454,267.1170239543903,11
2016,addiction,401854300,1471056,273.17403280364584,11
2017,addiction,566418510,1999622,283.2627916676252,14
2013,altitude sickness,16587300,253430,65.45120940693683,1
2014,altitude sickness,28961000,263373,109.96191712893881,1
2015,altitude sickness,34299000,270526,126.78633477004058,1
2016,altitude sickness,35956000,297296,120.94343684408804,1
2017,altitude sickness,35917600,295679,121.47497793214939,2
2013,analgesic/anesthetics,39065000,310119,125.9677736610785,2
2014,analgesic/anesthetics,39411000,294616,133.77073886007548,3
2015,analgesic/anesthetics,40474000,227202,178.14103749086715,3
2016,analgesic/anesthetics,20610000,178215,115.64683107482536,3
2017,analgesic/anesthetics,63755920,519359,122.75886236687917,6
2013,anemia,218995300,406097,539.268450641103,5
2014,anemia,210162400,411535,510.6792860874531,5
2015,anemia,196465800,432947,453.787184112605,5
2016,anemia,199665900,464545,429.809598639529,5
2017,anemia,204572500,551567,370.8932912955271,5
2013,arthritis,2695121070,15740403,171.22313005581879,36
2014,arthritis,3649602774,18037331,202.33607588617184,38
2015,arthritis,4625776519,19451141,237.81517593235276,40
2016,arthritis,5619751550,19790912,283.9561688718539,40
2017,arthritis,7765054011,22767356,341.06085972389593,51
2013,asthma/lung disease/respiratory,7595653970,36655111,207.21950535083633,46
2014,asthma/lung disease/respiratory,8535526952,40602948,210.21938978420977,54
2015,asthma/lung disease/respiratory,9724219120,43935173,221.33107612891385,62
2016,asthma/lung disease/respiratory,10703267000,45518564,235.1406999570549,63
2017,asthma/lung disease/respiratory,12346905790,48603754,254.03193732731015,68
2013,blood pressure,7608551820,220850700,34.45111027495045,141
2014,blood pressure,7717948745.2,235922638,32.713896430744384,154
2015,blood pressure,7259602207,246637512,29.434298733114044,161
2016,blood pressure,7271932209,253550646,28.680393143230248,161
2017,blood pressure,7784133422,267911308,29.05488939645653,185
2013,burn,117489000,766928,153.1943024638558,4
2014,burn,127864000,953449,134.1068059224982,4
2015,burn,143900900,975348,147.53800694726394,4
2016,burn,86155400,804494,107.0926569993064,4
2017,burn,157103700,1079365,145.55196805529178,4
2013,chemotherapy/cancer,5174623070,3298530,1568.766411098277,77
2014,chemotherapy/cancer,7099434279,3773585,1881.350036901249,86
2015,chemotherapy/cancer,9507150310,4192606,2267.5992711931435,101
2016,chemotherapy/cancer,11372412956,4516294,2518.0851724887707,101
2017,chemotherapy/cancer,13763871661,4859288,2832.4873234515017,129
2013,cholesterol/heart,9446332822,141513559,66.75213943280163,78
2014,cholesterol/heart,9775596428,148570072,65.79788443529866,82
2015,cholesterol/heart,10022063690,153526792,65.27892336863262,87
2016,cholesterol/heart,9606557066,151448157,63.431323670713276,87
2017,cholesterol/heart,7850359125,150365379,52.20855476977849,103
2013,dental,14543840,1268392,11.466360557304052,7
2014,dental,15373720,1411311,10.893219141634976,7
2015,dental,17536040,1537917,11.402461901389996,7
2016,dental,18756280,1629089,11.513355010070045,7
2017,dental,23603593,2038572,11.578493671059938,18
2013,dermatology,919646698,12154554,75.66272674423101,94
2014,dermatology,1181102824,12883771,91.67368963636501,109
2015,dermatology,1441931875,12929688,111.52101079314521,120
2016,dermatology,1421648646,13158141,108.04327495806588,120
2017,dermatology,1886372411,15301166,123.2829191579256,140
2013,diabetes/insulin,10516374306,74057671,142.0024983772444,134
2014,diabetes/insulin,13582496316,79990338,169.8017117517368,153
2015,diabetes/insulin,18061785394,86669925,208.39738114461272,162
2016,diabetes/insulin,20746114866,90232267,229.9190251531639,162
2017,diabetes/insulin,23500197406,93538379,251.23588474844107,186
2013,edema,184319290,26266248,7.017343702838716,4
2014,edema,162366800,22751215,7.136621055183206,4
2015,edema,195031010,23900835,8.160008217286132,4
2016,edema,206616580,24323750,8.494437740891104,4
2017,edema,261484870,30843581,8.477772733328209,5
2013,eye,2437983400,27165405,89.74588819861144,86
2014,eye,2925880570,29660842,98.64455533662867,96
2015,eye,3416472353,31103437,109.84227733417372,99
2016,eye,3729870050,31705162,117.64235899504314,99
2017,eye,3991169534,33057526,120.73406624561076,106
2013,fever,2120000,118,17966.101694915254,1
2014,fever,4230000,208,20336.53846153846,1
2015,fever,4420000,214,20654.205607476637,1
2016,fever,5140000,243,21152.263374485596,1
2017,fever,2880000,136,21176.470588235294,1
2013,flu/cold/allergies,1085686610,16907779,64.2122546077755,45
2014,flu/cold/allergies,1155868195,19020085,60.770926891231035,51
2015,flu/cold/allergies,1190740511,20236746,58.840512748442855,53
2016,flu/cold/allergies,1000794275,20299622,49.30112861214854,55
2017,flu/cold/allergies,950840485,22288076,42.66139818439241,66
2013,gallstones,29893700,209059,142.99169134072199,3
2014,gallstones,48874000,202205,241.70520016814618,3
2015,gallstones,89214400,237258,376.0227263148134,3
2016,gallstones,82823600,249315,332.20464071556063,3
2017,gallstones,146512400,387215,378.3748046950661,4
2013,hemorrhage,4936,546,9.04029304029304,2
2014,hemorrhage,5425,561,9.670231729055258,2
2015,hemorrhage,4904,599,8.186978297161936,2
2016,hemorrhage,4183,499,8.382765531062125,2
2017,hemorrhage,5323,730,7.291780821917809,4
2013,HIV/AIDS,2899051330,3065858,945.5921735448935,40
2014,HIV/AIDS,3211138620,3192730,1005.7657929107692,44
2015,HIV/AIDS,3561182020,3208969,1109.7589350348976,46
2016,HIV/AIDS,3694230590,2967444,1244.9200692582572,46
2017,HIV/AIDS,5419272540,3353022,1616.2353065384002,52
2013,immune system,765681000,513918,1489.889437614561,24
2014,immune system,972720000,597990,1626.6492750714895,27
2015,immune system,1168659000,639536,1827.3545195266568,28
2016,immune system,1368641000,635756,2152.777166082585,28
2017,immune system,1622244950,738064,2197.973278740055,32
2013,infection/parasite,2391463777,62126022,38.493753503161685,172
2014,infection/parasite,2264340139,67625431,33.48355944674127,187
2015,infection/parasite,2642228043,74010912,35.700519985485386,197
2016,infection/parasite,2500723467,76239282,32.80098397306522,197
2017,infection/parasite,2617133760,86035703,30.41915935759832,231
2013,kidney,1736769310,4915027,353.35905784444316,15
2014,kidney,2103516330,6308553,333.4387980888803,19
2015,kidney,2702704100,7555583,357.70953743741546,21
2016,kidney,3230148660,8634193,374.1112412011175,21
2017,kidney,3327882320,11811222,281.7559707200491,25
2013,liver,253095400,457248,553.5188781580237,18
2014,liver,5023128800,640814,7838.6689429382,21
2015,liver,9189814900,708301,12974.448574829063,23
2016,liver,6082678100,695296,8748.328913153535,23
2017,liver,4557553100,701374,6498.035427603532,29
2013,men's health,1319849530,15845188,83.29655224033947,23
2014,men's health,1288322870,17096247,75.35705760451403,26
2015,men's health,1422859570,19425299,73.24775644380043,32
2016,men's health,1303096150,22764034,57.24363924249981,32
2017,men's health,1314520910,24956446,52.67260049768304,36
2013,mental health,9501588741,107564569,88.33381502230534,142
2014,mental health,9408634477,113779170,82.69206461077191,149
2015,mental health,9396992713,125492076,74.88116391508258,161
2016,mental health,8702093624,131954817,65.9475252350962,162
2017,mental health,9493821631,151000402,62.87282355049624,178
2013,metabolism/endocrine system,744353823,48817029,15.247831304932546,31
2014,metabolism/endocrine system,1045824208,53862804,19.416445679285466,33
2015,metabolism/endocrine system,1269896737,57206768,22.198365357749278,38
2016,metabolism/endocrine system,1361900963,60255430,22.60212835590087,38
2017,metabolism/endocrine system,1529596750,66437712,23.023019666902435,46
2013,nausea,202711550,6494611,31.212269680201015,22
2014,nausea,221375800,7332668,30.190348178862045,22
2015,nausea,223783450,7928636,28.224709773534816,24
2016,nausea,209596560,8399499,24.95345972420498,24
2017,nausea,236994300,10039560,23.606044488005452,26
2013,nervous system,5576878935,30035660,185.67525850938517,73
2014,nervous system,6782723160,33283795,203.78454920780518,76
2015,nervous system,8179140298,34970021,233.89005965995847,88
2016,nervous system,8372412483,35625432,235.01223740950005,87
2017,nervous system,8573961580,44664610,191.96320263403175,92
2013,nutrition/vitamins/dietary supplements,327539040,10423192,31.424062801491136,47
2014,nutrition/vitamins/dietary supplements,356985170,11711053,30.482755905895054,59
2015,nutrition/vitamins/dietary supplements,512028450,17315093,29.571221477124034,66
2016,nutrition/vitamins/dietary supplements,503833040,17298453,29.12590160518978,66
2017,nutrition/vitamins/dietary supplements,695094619,20868311,33.30861893902195,105
2013,osteoporosis/bone health,1322643390,7260173,182.17794396910378,16
2014,osteoporosis/bone health,1326412510,7139361,185.7886875309989,18
2015,osteoporosis/bone health,1182942850,6585861,179.61855708767615,19
2016,osteoporosis/bone health,1104208650,6789160,162.6428969121364,19
2017,osteoporosis/bone health,1190797590,10192712,116.8283367566944,21
2013,other,955493600,3425375,278.94569207750976,27
2014,other,639175500,2469020,258.8782188884659,28
2015,other,478556900,1903557,251.40140274233974,34
2016,other,484007300,1704354,283.9828462866283,34
2017,other,626863491,1756218,356.9394522775646,42
2013,opioid,5473886930,59550125,91.92066229919753,112
2014,opioid,6599430390,71873984,91.81945987577369,129
2015,opioid,6932907162,81203955,85.37647165091897,142
2016,opioid,7609091650,82578017,92.14427672681944,142
2017,opioid,7577451205,100645851,75.28826205662467,162
2013,procedurerelated,62936620,1622038,38.80095287533338,15
2014,procedurerelated,76005570,1852046,41.03870530213612,15
2015,procedurerelated,85329820,2063201,41.357977240220414,16
2016,procedurerelated,91543980,2211061,41.40273832336602,16
2017,procedurerelated,105359720,2369800,44.45932990125749,19
2013,rare genetic,19199000,1554,12354.568854568855,5
2014,rare genetic,22888000,1413,16198.159943382874,5
2015,rare genetic,29492000,1531,19263.226649248856,5
2016,rare genetic,43682000,1948,22424.024640657084,7
2017,rare genetic,41201000,1762,23383.087400681045,6
2013,seizure disorder,1982313910,41720859,47.51373671381023,61
2014,seizure disorder,2297793469,47146988,48.73680305940223,64
2015,seizure disorder,2524370494,51544031,48.97503057143513,64
2016,seizure disorder,2647068674,54012698,49.00826605625218,64
2017,seizure disorder,2945159419,63892738,46.09537032205444,71
2013,sleep,826654500,12985340,63.66059725813879,18
2014,sleep,762820520,12436707,61.336213838598916,20
2015,sleep,699608090,12023243,58.18796891986629,21
2016,sleep,741897982,12149996,61.06158240710532,21
2017,sleep,683358268,12971883,52.67995926266063,25
2013,sterilization,7819958,692673,11.289537776122355,16
2014,sterilization,14409402.6,931093,15.475793073302022,16
2015,sterilization,31234775,1149685,27.168115614276953,16
2016,sterilization,42479560,1369517,31.017913614799962,16
2017,sterilization,53722241,1488512,36.09123809549402,17
2013,STI,122004740,1536637,79.39724215933887,8
2014,STI,129880018,1716921,75.64705539742364,8
2015,STI,117856820,1803464,65.35024818904064,8
2016,STI,103713870,1874131,55.3397121119068,8
2017,STI,82594490,1908864,43.26892329678804,8
2013,stroke/blood clot/general circulatory,2666029980,20669443,128.98412308449724,33
2014,stroke/blood clot/general circulatory,3602467240,22213784,162.17260598194346,34
