Year,Category,num_yrs,first_year,brandlvl_spend,brandlvl_claims,brandlvl_avg_spend_perclaim,num_brands
2013,acid reflux/ulcer/digestive,5,2013,5907779047,75830102,77.9080983828823,71
2014,acid reflux/ulcer/digestive,4,2014,5655170,8253,685.2259784320853,3
2014,acid reflux/ulcer/digestive,5,2013,6325423095,80286096,78.78603407245011,71
2015,acid reflux/ulcer/digestive,3,2015,107730000,130229,827.2351012447305,5
2015,acid reflux/ulcer/digestive,4,2014,11946700,11355,1052.1092029942756,3
2015,acid reflux/ulcer/digestive,5,2013,6137605368,82983739,73.96154285118438,71
2016,acid reflux/ulcer/digestive,3,2015,210170000,296921,707.8313760225784,5
2016,acid reflux/ulcer/digestive,4,2014,16551100,10539,1570.4620931777208,3
2016,acid reflux/ulcer/digestive,5,2013,5587025979,82642248,67.6049613147019,71
2017,acid reflux/ulcer/digestive,1,2017,118123300,257831,458.14234905810395,13
2017,acid reflux/ulcer/digestive,3,2015,219040000,362975,603.4575383979613,5
2017,acid reflux/ulcer/digestive,4,2014,18126590,8947,2025.9964233821393,3
2017,acid reflux/ulcer/digestive,5,2013,5262849946,80667938,65.2409132609786,71
2013,addiction,5,2013,252891800,949925,266.22291233518433,10
2014,addiction,5,2013,297278720,1113230,267.0415996694304,10
2015,addiction,3,2015,474000,1590,298.1132075471698,1
2015,addiction,5,2013,332742200,1245864,267.07746591923353,10
2016,addiction,3,2015,1080000,3396,318.02120141342755,1
2016,addiction,5,2013,400774300,1467660,273.0702615047082,10
2017,addiction,1,2017,24860000,100118,248.30699774266367,3
2017,addiction,3,2015,1220000,3423,356.41250365176745,1
2017,addiction,5,2013,540338510,1896081,284.9764909832439,10
2013,altitude sickness,5,2013,16587300,253430,65.45120940693683,1
2014,altitude sickness,5,2013,28961000,263373,109.96191712893881,1
2015,altitude sickness,5,2013,34299000,270526,126.78633477004058,1
2016,altitude sickness,5,2013,35956000,297296,120.94343684408804,1
2017,altitude sickness,1,2017,324000,493,657.2008113590264,1
2017,altitude sickness,5,2013,35593600,295186,120.58024432053011,1
2013,analgesic/anesthetics,5,2013,39065000,310119,125.9677736610785,2
2014,analgesic/anesthetics,4,2014,78000,160,487.5,1
2014,analgesic/anesthetics,5,2013,39333000,294456,133.5785312576412,2
2015,analgesic/anesthetics,4,2014,338000,476,710.0840336134454,1
2015,analgesic/anesthetics,5,2013,40136000,226726,177.02424953468062,2
2016,analgesic/anesthetics,4,2014,823000,914,900.437636761488,1
2016,analgesic/anesthetics,5,2013,19787000,177301,111.601175402282,2
2017,analgesic/anesthetics,1,2017,1563920,1392,1123.5057471264367,3
2017,analgesic/anesthetics,4,2014,199000,240,829.1666666666666,1
2017,analgesic/anesthetics,5,2013,61993000,517727,119.74071276947117,2
2013,anemia,5,2013,218995300,406097,539.268450641103,5
2014,anemia,5,2013,210162400,411535,510.6792860874531,5
2015,anemia,5,2013,196465800,432947,453.787184112605,5
2016,anemia,5,2013,199665900,464545,429.809598639529,5
2017,anemia,5,2013,204572500,551567,370.8932912955271,5
2013,arthritis,5,2013,2695121070,15740403,171.22313005581879,36
2014,arthritis,4,2014,50900000,45101,1128.5780803086407,2
2014,arthritis,5,2013,3598702774,17992230,200.01427138270242,36
2015,arthritis,3,2015,183240000,780915,234.6478169839227,2
2015,arthritis,4,2014,120100000,59040,2034.2140921409214,2
2015,arthritis,5,2013,4322436519,18611186,232.24938588008308,36
2016,arthritis,3,2015,254900000,968431,263.2092529049566,2
2016,arthritis,4,2014,199000000,76444,2603.2128093767988,2
2016,arthritis,5,2013,5165851550,18746037,275.570327211026,36
2017,arthritis,1,2017,1400200000,306427,4569.44068244639,11
2017,arthritis,3,2015,257500000,851298,302.4792728280814,2
2017,arthritis,4,2014,277300000,90891,3050.907130518973,2
2017,arthritis,5,2013,5830054011,21518740,270.9291534262694,36
2013,asthma/lung disease/respiratory,5,2013,7595653970,36655111,207.21950535083633,46
2014,asthma/lung disease/respiratory,4,2014,60676500,167918,361.3460141259424,8
2014,asthma/lung disease/respiratory,5,2013,8474850452,40435030,209.59179335343637,46
2015,asthma/lung disease/respiratory,3,2015,78278800,87256,897.1165306683781,8
2015,asthma/lung disease/respiratory,4,2014,609475000,1385968,439.74680512104175,8
2015,asthma/lung disease/respiratory,5,2013,9036465320,42461949,212.81324886900504,46
2016,asthma/lung disease/respiratory,2,2016,153000,426,359.15492957746477,1
2016,asthma/lung disease/respiratory,3,2015,378203000,961190,393.47371487427046,8
2016,asthma/lung disease/respiratory,4,2014,1095210000,2105107,520.263340533284,8
2016,asthma/lung disease/respiratory,5,2013,9229701000,42451841,217.41580064808025,46
2017,asthma/lung disease/respiratory,1,2017,446621000,167805,2661.5476296892225,5
2017,asthma/lung disease/respiratory,2,2016,348000,1013,343.5340572556762,1
2017,asthma/lung disease/respiratory,3,2015,665953000,1597243,416.9390631231441,8
2017,asthma/lung disease/respiratory,4,2014,1508910000,2621711,575.5439863508983,8
2017,asthma/lung disease/respiratory,5,2013,9725073790,44215982,219.94476544702772,46
2013,blood pressure,4,2013,6840,68,100.58823529411765,1
2013,blood pressure,5,2013,7608544980,220850632,34.45108991130259,140
2014,blood pressure,4,2014,304786100,1428700,213.33107020368166,14
2014,blood pressure,5,2013,7413162645.2,234493938,31.613451112753285,140
2015,blood pressure,3,2015,13388000,14190,943.4813248766737,6
2015,blood pressure,4,2013,1090000,5162,211.15846571096475,1
2015,blood pressure,4,2014,506108400,4256846,118.89281406938376,14
2015,blood pressure,5,2013,6739015807,242361314,27.80565798962453,140
2016,blood pressure,3,2015,29047000,29315,990.8579225652396,6
2016,blood pressure,4,2013,1555000,8060,192.92803970223326,1
2016,blood pressure,4,2014,495866000,5068049,97.8415954541876,14
2016,blood pressure,5,2013,6745464209,248445222,27.150710143260472,140
2017,blood pressure,1,2017,612061310,4992146,122.60484969790546,24
2017,blood pressure,3,2015,25553000,38560,662.6815352697096,6
2017,blood pressure,4,2013,1636000,8518,192.0638647569852,1
2017,blood pressure,4,2014,527122080,5854544,90.03640249351615,14
2017,blood pressure,5,2013,6617761032,257017540,25.748285630622718,140
2013,burn,5,2013,117489000,766928,153.1943024638558,4
2014,burn,5,2013,127864000,953449,134.1068059224982,4
2015,burn,5,2013,143900900,975348,147.53800694726394,4
2016,burn,5,2013,86155400,804494,107.0926569993064,4
2017,burn,5,2013,157103700,1079365,145.55196805529178,4
2013,chemotherapy/cancer,5,2013,5174623070,3298530,1568.766411098277,77
2014,chemotherapy/cancer,4,2014,88761060,6668,13311.496700659867,9
2014,chemotherapy/cancer,5,2013,7010673219,3766917,1861.1169874462325,77
2015,chemotherapy/cancer,3,2015,448103370,45964,9749.007266556435,15
2015,chemotherapy/cancer,4,2014,203389300,15203,13378.234558968625,9
2015,chemotherapy/cancer,5,2013,8855657640,4131439,2143.4801869276057,77
2016,chemotherapy/cancer,3,2015,1605978590,151776,10581.24202772507,15
2016,chemotherapy/cancer,4,2014,149286100,13621,10959.995595037075,9
2016,chemotherapy/cancer,5,2013,9617148266,4350897,2210.382885644041,77
2017,chemotherapy/cancer,1,2017,1027422680,124121,8277.589449005405,28
2017,chemotherapy/cancer,3,2015,2161047500,196231,11012.773211164393,15
2017,chemotherapy/cancer,4,2014,98074220,9029,10862.13534167682,9
2017,chemotherapy/cancer,5,2013,10477327261,4529907,2312.923258910172,77
2013,cholesterol/heart,5,2013,9446332822,141513559,66.75213943280163,78
2014,cholesterol/heart,4,2014,142241700,610082,233.1517730403454,4
2014,cholesterol/heart,5,2013,9633354728,147959990,65.10783576019436,78
2015,cholesterol/heart,3,2015,11400000,19020,599.3690851735016,5
2015,cholesterol/heart,4,2014,367103010,2065935,177.69339790458073,4
2015,cholesterol/heart,5,2013,9643560680,151441837,63.67831288258871,78
2016,cholesterol/heart,3,2015,232930000,289292,805.1726283478284,5
2016,cholesterol/heart,4,2014,268028800,1660156,161.44796031216345,4
2016,cholesterol/heart,5,2013,9105598266,149498709,60.90753777679779,78
2017,cholesterol/heart,1,2017,1055619140,10276800,102.71866145103535,16
2017,cholesterol/heart,3,2015,539220000,700854,769.3756474244279,5
2017,cholesterol/heart,4,2014,254144680,1672119,151.98958925770236,4
2017,cholesterol/heart,5,2013,6001375305,137715606,43.57803359627957,78
2013,dental,5,2013,14543840,1268392,11.466360557304052,7
2014,dental,5,2013,15373720,1411311,10.893219141634976,7
2015,dental,5,2013,17536040,1537917,11.402461901389996,7
2016,dental,5,2013,18756280,1629089,11.513355010070045,7
2017,dental,1,2017,2800430,277820,10.080015837592686,11
2017,dental,5,2013,20803163,1760752,11.814930779575999,7
2013,dermatology,5,2013,919646698,12154554,75.66272674423101,94
2014,dermatology,4,2014,10431281,18014,579.0652270456312,15
2014,dermatology,5,2013,1170671543,12865757,90.99126798368724,94
2015,dermatology,3,2015,31266000,19202,1628.2678887615873,11
2015,dermatology,4,2014,21055500,40079,525.3499338805858,15
2015,dermatology,5,2013,1389610375,12870407,107.96941969278826,94
2016,dermatology,3,2015,122865500,51249,2397.422388729536,11
2016,dermatology,4,2014,20799600,42101,494.0405216028123,15
2016,dermatology,5,2013,1277983546,13064791,97.81890471879726,94
2017,dermatology,1,2017,92184880,27898,3304.3544340096064,20
2017,dermatology,3,2015,229538100,68970,3328.086124401914,11
2017,dermatology,4,2014,23016300,44619,515.8407853156727,15
2017,dermatology,5,2013,1541633131,15159679,101.69299303764942,94
2013,diabetes/insulin,5,2013,10516374306,74057671,142.0024983772444,134
2014,diabetes/insulin,3,2014,1970,80,24.625,1
2014,diabetes/insulin,4,2014,326613841,655810,498.0311995852457,18
2014,diabetes/insulin,5,2013,13255880505,79334448,167.0885830704967,134
2015,diabetes/insulin,3,2014,24900,2440,10.204918032786885,1
2015,diabetes/insulin,3,2015,86507800,122206,707.8850465607253,9
2015,diabetes/insulin,4,2014,1851568380,3349279,552.8259604529811,18
2015,diabetes/insulin,5,2013,16123684314,83196000,193.8036001009664,134
2016,diabetes/insulin,3,2014,19700,1648,11.95388349514563,1
2016,diabetes/insulin,3,2015,590455600,905962,651.7443336475482,9
2016,diabetes/insulin,4,2014,2529867890,4283492,590.6087579946455,18
2016,diabetes/insulin,5,2013,17625771676,85041165,207.26164412258464,134
2017,diabetes/insulin,1,2017,317168907,3268834,97.02814734550607,25
2017,diabetes/insulin,3,2015,1125901000,1673007,672.9804477805532,9
2017,diabetes/insulin,4,2014,3298947850,5197616,634.7040354654903,18
2017,diabetes/insulin,5,2013,18758179649,83398922,224.92112846494587,134
2013,edema,5,2013,184319290,26266248,7.017343702838716,4
2014,edema,5,2013,162366800,22751215,7.136621055183206,4
2015,edema,5,2013,195031010,23900835,8.160008217286132,4
2016,edema,5,2013,206616580,24323750,8.494437740891104,4
2017,edema,1,2017,217000,783,277.1392081736909,1
2017,edema,5,2013,261267870,30842798,8.470952278713494,4
2013,eye,5,2013,2437983400,27165405,89.74588819861144,86
2014,eye,4,2014,12891535,132053,97.62394644574528,10
2014,eye,5,2013,2912989035,29528789,98.64911950842279,86
2015,eye,3,2015,712550,6867,103.76438036988496,3
2015,eye,4,2014,46244610,346556,133.44051177876014,10
2015,eye,5,2013,3369515193,30750014,109.57767996463352,86
2016,eye,3,2015,2629800,22187,118.52886825618606,3
2016,eye,4,2014,62004710,385166,160.98178447734225,10
2016,eye,5,2013,3665235540,31297809,117.10837458302592,86
2017,eye,1,2017,94797910,217545,435.76230205244894,7
2017,eye,3,2015,3828300,27975,136.84718498659518,3
2017,eye,4,2014,68186530,407194,167.4546530646326,10
2017,eye,5,2013,3824356794,32404812,118.0181756339151,86
2013,fever,5,2013,2120000,118,17966.101694915254,1
2014,fever,5,2013,4230000,208,20336.53846153846,1
2015,fever,5,2013,4420000,214,20654.205607476637,1
2016,fever,5,2013,5140000,243,21152.263374485596,1
2017,fever,5,2013,2880000,136,21176.470588235294,1
2013,flu/cold/allergies,5,2013,1085686610,16907779,64.2122546077755,45
2014,flu/cold/allergies,4,2014,6152890,24777,248.33070993259878,6
2014,flu/cold/allergies,5,2013,1149715305,18995308,60.52627864733754,45
2015,flu/cold/allergies,3,2015,6311000,36712,171.90564393113968,2
2015,flu/cold/allergies,4,2014,21359590,91134,234.37564465512324,6
2015,flu/cold/allergies,5,2013,1163069921,20108900,57.83856506323071,45
2016,flu/cold/allergies,2,2016,2184180,3626,602.3662437948152,2
2016,flu/cold/allergies,3,2015,41663000,239849,173.70512280643237,2
2016,flu/cold/allergies,4,2014,45464540,334707,135.83384870946827,6
2016,flu/cold/allergies,5,2013,911482555,19721440,46.21784996430281,45
2017,flu/cold/allergies,1,2017,109784510,895762,122.55990988677796,11
2017,flu/cold/allergies,2,2016,3004100,4742,633.5090679038381,2
2017,flu/cold/allergies,3,2015,61459000,334002,184.00788019233417,2
2017,flu/cold/allergies,4,2014,67982727,466905,145.60291065634337,6
2017,flu/cold/allergies,5,2013,708610148,20586665,34.42083251463994,45
2013,gallstones,5,2013,29893700,209059,142.99169134072199,3
2014,gallstones,5,2013,48874000,202205,241.70520016814618,3
2015,gallstones,5,2013,89214400,237258,376.0227263148134,3
2016,gallstones,5,2013,82823600,249315,332.20464071556063,3
2017,gallstones,1,2017,16500000,347,47550.43227665706,1
2017,gallstones,5,2013,130012400,386868,336.06398047912984,3
2013,hemorrhage,5,2013,4936,546,9.04029304029304,2
2014,hemorrhage,5,2013,5425,561,9.670231729055258,2
2015,hemorrhage,5,2013,4904,599,8.186978297161936,2
2016,hemorrhage,5,2013,4183,499,8.382765531062125,2
2017,hemorrhage,1,2017,1065,151,7.052980132450331,2
2017,hemorrhage,5,2013,4258,579,7.354058721934369,2
2013,HIV/AIDS,4,2013,10300,74,139.1891891891892,1
2013,HIV/AIDS,5,2013,2899041030,3065784,945.6116380018944,39
2014,HIV/AIDS,4,2013,7090,53,133.77358490566039,1
2014,HIV/AIDS,4,2014,23517840,19957,1178.4256150724057,4
2014,HIV/AIDS,5,2013,3187613690,3172720,1004.6942970069846,39
2015,HIV/AIDS,3,2015,51600000,33906,1521.8545390196425,2
2015,HIV/AIDS,4,2013,4920,34,144.7058823529412,1
2015,HIV/AIDS,4,2014,246920000,119230,2070.955296485784,4
2015,HIV/AIDS,5,2013,3262657100,3055799,1067.6936212100338,39
2016,HIV/AIDS,3,2015,161700000,99346,1627.6447969721983,2
2016,HIV/AIDS,4,2013,14200,107,132.71028037383178,1
2016,HIV/AIDS,4,2014,496216000,209587,2367.5895928659697,4
2016,HIV/AIDS,5,2013,3036300390,2658404,1142.1516029918703,39
2017,HIV/AIDS,1,2017,1946380000,828277,2349.914340250906,7
2017,HIV/AIDS,3,2015,256500000,147577,1738.075716405673,2
2017,HIV/AIDS,4,2014,679265000,262691,2585.794716986878,4
2017,HIV/AIDS,5,2013,2537127540,2114477,1199.8841983147606,39
2013,immune system,5,2013,765681000,513918,1489.889437614561,24
2014,immune system,4,2014,786000,272,2889.705882352941,3
2014,immune system,5,2013,971934000,597718,1626.0745033611167,24
2015,immune system,3,2015,4440000,104,42692.307692307695,1
2015,immune system,4,2014,11930000,2199,5425.193269668031,3
