Manufacturer,Year,avg_spend_per_claim_status,manufacturer_diff,price_status_drugs
3M Espe Dental,2017,at_average,0,1
Abbott Diabetes,2013,at_average,0,1
Abbott Diabetes,2014,at_average,0,1
Abbott Diabetes,2015,at_average,0,1
Abbott Diabetes,2016,at_average,0,1
Abbott Diabetes,2017,at_average,0,1
Abbvie US LLC,2013,at_average,0,30
Abbvie US LLC,2014,at_average,0,30
Abbvie US LLC,2015,at_average,0,31
Abbvie US LLC,2016,at_average,0,31
Abbvie US LLC,2017,at_average,0,34
Abbvie US LLC,2017,below_average,-60372,1
Acadia Pharmace,2017,at_average,0,1
Accord Healthca,2013,above_average,9773313.449999996,5
Accord Healthca,2013,at_average,0,2
Accord Healthca,2013,below_average,-5981282.089999993,16
Accord Healthca,2014,above_average,13283427.600000003,5
Accord Healthca,2014,at_average,0,2
Accord Healthca,2014,below_average,-13084886.569999998,19
Accord Healthca,2015,above_average,15169906.949999997,11
Accord Healthca,2015,at_average,0,3
Accord Healthca,2015,below_average,-24103104.790000007,16
Accord Healthca,2016,above_average,27023754.24000001,14
Accord Healthca,2016,at_average,0,3
Accord Healthca,2016,below_average,-15952691.1,13
Accord Healthca,2017,above_average,29926617.099999998,14
Accord Healthca,2017,at_average,0,2
Accord Healthca,2017,below_average,-17331477.33,17
Acella Pharmace,2013,above_average,212036.2,2
Acella Pharmace,2013,at_average,0,2
Acella Pharmace,2014,above_average,54517.40000000001,2
Acella Pharmace,2014,at_average,0,2
Acella Pharmace,2014,below_average,-10281,1
Acella Pharmace,2015,above_average,82264.99999999999,4
Acella Pharmace,2015,at_average,0,2
Acella Pharmace,2016,above_average,66858.80000000002,2
Acella Pharmace,2016,at_average,0,2
Acella Pharmace,2016,below_average,-80640,2
Acella Pharmace,2017,above_average,30201.000000000022,2
Acella Pharmace,2017,at_average,0,4
Acella Pharmace,2017,below_average,-65970.9,2
Acella Pharmace*,2017,below_average,-61613.7,1
Acetris Health,2017,below_average,-2647363.39,18
Acorda Therapeu,2013,at_average,0,1
Acorda Therapeu,2014,at_average,0,1
Acorda Therapeu,2015,at_average,0,1
Acorda Therapeu,2016,at_average,0,1
Acorda Therapeu,2017,at_average,0,1
Acorda/Covis Ph,2017,at_average,0,1
Actavis Pharma,2013,above_average,12229562.1,5
Actavis Pharma,2013,at_average,0,4
Actavis Pharma,2013,below_average,-24145096.76,11
Actavis Pharma,2014,above_average,12692928.6,6
Actavis Pharma,2014,at_average,0,4
Actavis Pharma,2014,below_average,-38715706.8,12
Actavis Pharma,2015,above_average,14772572.339999998,8
Actavis Pharma,2015,at_average,0,5
Actavis Pharma,2015,below_average,-55902322.550000004,11
