inf_rate,year,baseyear,yeartype
24.20258892,1915,2017,fiscal
23.04010236,1916,2017,fiscal
19.82447832,1917,2017,fiscal
16.97269722,1918,2017,fiscal
14.53598112,1919,2017,fiscal
12.35159561,1920,2017,fiscal
13.23425147,1921,2017,fiscal
14.42846647,1922,2017,fiscal
14.40715411,1923,2017,fiscal
14.22505105,1924,2017,fiscal
14.02729147,1925,2017,fiscal
13.73752582,1926,2017,fiscal
13.98037745,1927,2017,fiscal
14.17680717,1928,2017,fiscal
14.23196984,1929,2017,fiscal
14.40006398,1930,2017,fiscal
15.62249333,1931,2017,fiscal
17.3861735,1932,2017,fiscal
18.85369201,1933,2017,fiscal
18.31096996,1934,2017,fiscal
17.86381563,1935,2017,fiscal
17.65898008,1936,2017,fiscal
17.101654,1937,2017,fiscal
17.15177608,1938,2017,fiscal
17.53201318,1939,2017,fiscal
17.41722024,1940,2017,fiscal
16.95303013,1941,2017,fiscal
15.25595933,1942,2017,fiscal
14.21123361,1943,2017,fiscal
13.92714422,1944,2017,fiscal
13.62875175,1945,2017,fiscal
13.00485778,1946,2017,fiscal
11.16829389,1947,2017,fiscal
10.25619699,1948,2017,fiscal
10.18479986,1949,2017,fiscal
10.24542367,1950,2017,fiscal
9.54057059,1951,2017,fiscal
9.213139169,1952,2017,fiscal
9.129775351,1953,2017,fiscal
9.067533313,1954,2017,fiscal
9.115554517,1955,2017,fiscal
9.025579889,1956,2017,fiscal
8.745047818,1957,2017,fiscal
8.491273941,1958,2017,fiscal
8.398659587,1959,2017,fiscal
8.272810291,1960,2017,fiscal
8.171161687,1961,2017,fiscal
8.087598121,1962,2017,fiscal
7.990423266,1963,2017,fiscal
7.882793642,1964,2017,fiscal
7.773892136,1965,2017,fiscal
7.580551813,1966,2017,fiscal
7.359388833,1967,2017,fiscal
7.091839554,1968,2017,fiscal
6.743703618,1969,2017,fiscal
6.36660792,1970,2017,fiscal
6.073252387,1971,2017,fiscal
5.88159397,1972,2017,fiscal
5.60232242,1973,2017,fiscal
5.089742564,1974,2017,fiscal
4.610924992,1975,2017,fiscal
4.338166049,1976,2017,fiscal
4.087863928,1977,2017,fiscal
3.818967632,1978,2017,fiscal
3.461602981,1979,2017,fiscal
3.047696073,1980,2017,fiscal
2.743383649,1981,2017,fiscal
2.55487034,1982,2017,fiscal
