Brand Name,Generic Name,Manufacturer,Total Spending,Total Dosage Units,Total Claims,Average Spending Per Dosage Unit (Weighted),Average Spending Per Claim,Year
A-Hydrocort,Hydrocortisone Sod Succinate,Hospira/Pfizer,2247.72,117,85,19.21128205,26.44376471,2013
A-Methapred,Methylprednisolone Sod Succ,Hospira,219186.44,8373.784,5541,26.17531572,39.55719906,2013
Abacavir,Abacavir Sulfate,Apotex Corp,1284416.72,177461,3011,7.237740799,426.5747991,2013
Abacavir,Abacavir Sulfate,Aurobindo Pharm,1153667.1,166131.12,2831,6.944316634,407.5122218,2013
Abacavir,Abacavir Sulfate,Camber Pharmace, , , , , ,2013
Abacavir,Abacavir Sulfate,Mylan,8172735.17,1120048.956,19035,7.296766026,429.3530428,2013
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,Prasco Labs, , , , , ,2013
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,Teva USA, , , , , ,2013
Abacavir-Lamivudine-Zidovudine,Abacavir/Lamivudine/Zidovudine,Lupin Pharmaceu,100757.12,4608,77,21.86569444,1308.534026,2013
Abelcet,Amphotericin B Lipid Complex,Sigma-Tau/Leadi,568429.57,60123.51,525,9.454364358,1082.722991,2013
Abilify,Aripiprazole,Otsuka America,2011371372,88800243.19,2748924,23.72445523,731.6940637,2013
Abilify Maintena,Aripiprazole,Otsuka America,14575798.26,10217.9,10211,1426.427787,1427.460411,2013
Abraxane,Paclitaxel Protein-Bound,Celgene,30007138.57,54262.62,16121,552.9983361,1861.369553,2013
Absorica,Isotretinoin,Ranbaxy/Sun Pha,835926.31,39351,824,21.13972388,1014.473677,2013
Acamprosate Calcium,Acamprosate Calcium,Glenmark Pharma,610359.29,577968,3728,1.056043397,163.7229855,2013
Acamprosate Calcium,Acamprosate Calcium,Mylan, , , , , ,2013
Acamprosate Calcium,Acamprosate Calcium,Mylan Instituti, , , , , ,2013
Acamprosate Calcium,Acamprosate Calcium,Teva USA, , , , , ,2013
Acanya,Clindamycin Phos/Benzoyl Perox,Valeant,451461.31,78360.001,1570,5.76137448,287.5549745,2013
Acarbose,Acarbose,Actavis Pharma/,531464.08,1066648.27,11880,0.498370839,44.73603367,2013
Acarbose,Acarbose,Alvogen Inc,9767.72,20363,249,0.479368841,39.22779117,2013
Acarbose,Acarbose,Global Pharm,230558.61,447753.38,5165,0.51523129,44.63864666,2013
Acarbose,Acarbose,Global/Impax,166702.48,320726.91,3570,0.519764556,46.69537255,2013
Acarbose,Acarbose,Heritage Pharma,238701.73,469739,5327,0.508537172,44.809786,2013
Acarbose,Acarbose,Mylan,338566.45,657445.36,7324,0.515642424,46.22698662,2013
Acarbose,Acarbose,Roxane/West-War,545020.97,1082241.44,12685,0.503043121,42.965784,2013
Acarbose,Acarbose,Strides Pharma, , , , , ,2013
Acarbose,Acarbose,Virtus Pharmace, , , , , ,2013
Accolate,Zafirlukast,Par Pharmaceuti, , , , , ,2013
Accupril,Quinapril HCl,Pfizer US Pharm,1372.2,1065,23,1.288450704,59.66086957,2013
Acebutolol HCl,Acebutolol HCl,Amneal Pharmace,52190.36,157163.79,3075,0.333131421,16.9724748,2013
Acebutolol HCl,Acebutolol HCl,Mylan,60264.41,182482,3289,0.330933129,18.32301916,2013
Acephen,Acetaminophen,G & W Labs.,106.91,139,11,0.77675143,9.719090909,2013
Acetadote,Acetylcysteine,Cumberland Phar,105544.57,12299.44,121,8.581250041,872.2691736,2013
Acetamin-Caff-Dihydrocodeine,Acetaminophen/Caff/Dihydrocod,Xspire Pharma, , , , , ,2013
Acetaminophen-Codeine,Acetaminophen With Codeine,Ahp,73947.9,30647.63,1254,5.91932461,58.96961723,2013
