Brand Name,Year,brandspend,branddose,brandclaims,nomchngspend,nomchngdose,nomchngclaims,perchngspend,perchngdose,perchngclaims
A-Hydrocort,2013,2247.72,117,85,7056.540000000001,-23,-34,3.139421280230634,-0.19658119658119655,-0.4
A-Hydrocort,2014,40656.7,240,181,7056.540000000001,-23,-34,3.139421280230634,-0.19658119658119655,-0.4
A-Hydrocort,2015,95103.89,175,136,7056.540000000001,-23,-34,3.139421280230634,-0.19658119658119655,-0.4
A-Hydrocort,2016,20684.94,74.002,68,7056.540000000001,-23,-34,3.139421280230634,-0.19658119658119655,-0.4
A-Hydrocort,2017,9304.26,94,51,7056.540000000001,-23,-34,3.139421280230634,-0.19658119658119655,-0.4
A-Methapred,2013,219186.44,8373.784,5541,-218138.45,-8133.414,-5369,-0.9952187279468566,-0.9712949366737905,-0.9689586717199061
A-Methapred,2014,83609.24,27630.984,2260,-218138.45,-8133.414,-5369,-0.9952187279468566,-0.9712949366737905,-0.9689586717199061
A-Methapred,2015,15948.32,13694.505,1565,-218138.45,-8133.414,-5369,-0.9952187279468566,-0.9712949366737905,-0.9689586717199061
A-Methapred,2016,19600.11,983.64,656,-218138.45,-8133.414,-5369,-0.9952187279468566,-0.9712949366737905,-0.9689586717199061
A-Methapred,2017,1047.99,240.37,172,-218138.45,-8133.414,-5369,-0.9952187279468566,-0.9712949366737905,-0.9689586717199061
Abacavir,2013,10610818.99,1463641.076,24877,-5799719.13,-146077.07599999988,-2089,-0.5465854365686432,-0.09980389208481044,-0.08397314788760701
Abacavir,2014,10990163.32,1637804.875,28178,-5799719.13,-146077.07599999988,-2089,-0.5465854365686432,-0.09980389208481044,-0.08397314788760701
Abacavir,2015,9532563.66,1706391,29162,-5799719.13,-146077.07599999988,-2089,-0.5465854365686432,-0.09980389208481044,-0.08397314788760701
Abacavir,2016,7198568.34,1582737,27053,-5799719.13,-146077.07599999988,-2089,-0.5465854365686432,-0.09980389208481044,-0.08397314788760701
Abacavir,2017,4811099.86,1317564,22788,-5799719.13,-146077.07599999988,-2089,-0.5465854365686432,-0.09980389208481044,-0.08397314788760701
Abacavir-Lamivudine-Zidovudine,2013,100757.12,4608,77,3800215.12,179208,3063,37.71659134361919,38.890625,39.77922077922078
Abacavir-Lamivudine-Zidovudine,2014,7933745.03,345248,5736,3800215.12,179208,3063,37.71659134361919,38.890625,39.77922077922078
Abacavir-Lamivudine-Zidovudine,2015,8411564.86,377127,6327,3800215.12,179208,3063,37.71659134361919,38.890625,39.77922077922078
Abacavir-Lamivudine-Zidovudine,2016,6092367.73,276536,4673,3800215.12,179208,3063,37.71659134361919,38.890625,39.77922077922078
