Medicare Billing Code (HCPCS Code),Drug Description,Brand Name,Generic Name,Total Spending,Total Dosage Units,Total Claims,Total Beneficiaries,Average Spending Per Dosage Unit,Average Spending Per Claim,Average Spending Per Beneficiary,Year
90371,Hepatitis B immune globulin for injection into muscle,HyperHEP B S-D*,Hepatitis B Immune Globulin*,286634.23,2708,709,228,105.8472046,404.279591,1257.167675,2013
90375,Rabies immune globulin for injection beneath the skin and/or into muscle,HyperRAB S-D,Rabies Immune Globulin/PF,2682515.26,12823,2147,2077,209.1956063,1249.4249,1291.533587,2013
90376,Rabies immune globulin for injection beneath the skin and/or into muscle,Imogam Rabies-HT,Rabies Immune Globulin/PF,1139825.55,5534,806,790,205.9677539,1414.17562,1442.817152,2013
90586,Vaccine for bladder cancer injection into urinary bladder,BCG (Tice Strain) (90586)*,BCG Live*,24167.33,207,207,49,116.7503865,116.7503865,493.2108163,2013
90630,Vaccine for influenza for injection into skin,Vaccine Influenza Injection Skin (Fluzone)**, , , , , , , , ,2013
90632,"Vaccine for Hepatitis A injection into muscle, adult dosage",Havrix*,Hepatitis A Virus Vaccine/PF*,27530.65,605,605,545,45.50520661,45.50520661,50.51495413,2013
90653,Vaccine for influenza for injection into muscle,Vaccine Influenza Injection Muscle (Fluad)**, ,363.54,23,23,23,15.80608696,15.80608696,15.80608696,2013
90656,"Vaccine for influenza for administration into muscle, 0.5 ml dosage","Vaccine Influenza Injection Muscle (Fluvirin), Age 3+ Years**", ,27672339.9,2254721,2241424,2214365,12.27306611,12.34587472,12.4967383,2013
90662,Vaccine for influenza for injection into muscle,Vaccine Influenza Injection Muscle (Fluzone High-Dose)**, ,114365026.5,3768168.5,3768108,3715592,30.35029523,30.35078253,30.77975904,2013
90670,Pneumococcal vaccine for injection into muscle,Prevnar 13,Pneumococcal 13-Valent Vaccine,19045357.85,140244,140067,137909,135.8015876,135.9731975,138.100906,2013
90673,"Vaccine for influenza administered into muscle, preservative and antibiotic fre",Vaccine Influenza Muscle Preservative/Antibiotic Free (Flublok)**, , , , , , , , ,2013
90674,"Influenza virus vaccine, quadrivalent (ccIIV4)","Influenza virus vaccine, quadrivalent (ccIIV4)**", , , , , , , , ,2013
90675,Vaccine for rabies injection into muscle,Imovax Rabies Vaccine*,"Rabies Vacc, Human Diploid/PF*",2251119.52,10788,9748,3637,208.6688469,230.9314239,618.9495518,2013
90685,"Vaccine for influenza for administration into muscle, 0.25 ml dosage","Vaccine Influenza Muscle (Fluzone), 0.25 mL, Age 6-35 Months**", ,13469.81,484,484,483,27.83018595,27.83018595,27.88780538,2013
90686,"Vaccine for influenza for administration into muscle, 0.5 ml dosage","Vaccine Influenza Muscle (Fluzone), 0.5 mL,  Age 3+ Years **", ,9171428.37,520607,520582,520158,17.61679803,17.61764404,17.63200483,2013
90687,"Vaccine for influenza for administration into muscle, 0.25 ml dosage","Vaccine Influenza Muscle (Fluzone), 5 mL, Age 6-35 Months**", , , , , , , , ,2013
90688,"Vaccine for influenza for administration into muscle, 0.5 ml dosage","Vaccine Influenza Muscle (Fluzone), 5 mL, Age 3+ Years**", ,520460.76,31710,31709,31706,16.41314286,16.41366048,16.41521352,2013
90714,"Vaccine for tetanus and diphtheria toxoids injection into muscle, patient 7 years or older",Tenivac*,Tetanus-Diphtheria Toxoids/PF*,1060539.51,54517,54509,54383,19.45337253,19.4562276,19.50130574,2013
90715,"Vaccine for tetanus, diphtheria toxoids and acellular pertussis (whooping cough) for injection into muscle, patient 7 years or older",Adacel Tdap*,"Diph,pertuss(Acell),tet Vac/PF*",1374204.28,40449.5,40445,40370,33.97333169,33.97711163,34.04023483,2013
