Brand Name,Generic Name,Manufacturer,Total Spending,Total Dosage Units,"Total 
Claims",Total Beneficiaries,Average Spending Per Dosage Unit (Weighted),Average Spending Per Claim,Average Spending Per Beneficiary,Year
1st Tier Unifine Pentips,"Pen Needle, Diabetic",Owen Mumford Us,94537.7,518920,4376,1620,0.182159538,21.60367916,58.35660494,2013
1st Tier Unifine Pentips Plus,"Pen Needle, Diabetic",Owen Mumford Us, , , , , , , ,2013
Abacavir,Abacavir Sulfate,Apotex Corp,4492741.67,628513,10020,2114,7.148208024,448.3774122,2125.232578,2013
Abacavir,Abacavir Sulfate,Aurobindo Pharm,3559814.51,495218,7646,1920,7.188378674,465.5786699,1854.070057,2013
Abacavir,Abacavir Sulfate,Camber Pharmace, , , , , , , ,2013
Abacavir,Abacavir Sulfate,Mylan,18776293.82,2624085,41161,7206,7.155367993,456.1670956,2605.647213,2013
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,Prasco Labs, , , , , , , ,2013
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,Teva USA, , , , , , , ,2013
Abacavir-Lamivudine-Zidovudine,Abacavir/Lamivudine/Zidovudine,Lupin Pharmaceu,78230.03,3473,49,49,22.525203,1596.531225,1596.531225,2013
Abelcet,Amphotericin B Lipid Complex,Sigma-Tau/Leadi,582002.93,56574,435, ,10.28746297,1337.93777, ,2013
Abilify,Aripiprazole,Otsuka America,2078945811,83801287.81,2837765,396575,24.76663188,732.5997083,5242.251305,2013
Abilify Maintena,Aripiprazole,Otsuka America,21278004.27,14793.7,14694,3986,1438.478444,1448.074334,5338.184714,2013
Abraxane,Paclitaxel Protein-Bound,Celgene,2915287.29,3380,557,161,862.5110325,5233.908959,18107.37447,2013
Absorica,Isotretinoin,Ranbaxy/Sun Pha,38562.6,1660,43,23,23.23048193,896.8046512,1676.634783,2013
Acamprosate Calcium,Acamprosate Calcium,Glenmark Pharma,840135.42,792170,4881,2576,1.060549402,172.1236263,326.1395264,2013
Acamprosate Calcium,Acamprosate Calcium,Mylan, , , , , , , ,2013
Acamprosate Calcium,Acamprosate Calcium,Mylan Instituti, , , , , , , ,2013
Acamprosate Calcium,Acamprosate Calcium,Teva USA, , , , , , , ,2013
Acanya,Clindamycin Phos/Benzoyl Perox,Valeant,290935.56,46265,888,574,6.288459094,327.6301351,506.8563763,2013
Acarbose,Acarbose,Actavis Pharma/,2782433.3,5033906,43561, ,0.551959364,63.87441289, ,2013
Acarbose,Acarbose,Alvogen Inc,63768.05,122980,1041,827,0.517224354,61.25653218,77.10767836,2013
Acarbose,Acarbose,Global Pharm,557855.93,924813,8326,9836,0.603209438,67.00167307,56.71573099,2013
Acarbose,Acarbose,Global/Impax,929641.03,1713245,16370, ,0.542620016,56.78931155, ,2013
Acarbose,Acarbose,Heritage Pharma,2648133.98,4794038,35172,10322,0.553159023,75.29096952,256.5524104,2013
Acarbose,Acarbose,Mylan,2674471.6,4913495,40352,10612,0.542806445,66.27853886,252.0233321,2013
Acarbose,Acarbose,Roxane/West-War,2548369.06,4302312.5,41785,11433,0.591545413,60.98765251,222.8959206,2013
Acarbose,Acarbose,Strides Pharma, , , , , , , ,2013
Acarbose,Acarbose,Virtus Pharmace, , , , , , , ,2013
Accolate,Zafirlukast,Par Pharmaceuti, , , , , , , ,2013
Accupril,Quinapril HCl,Pfizer US Pharm,1057706.05,481214,7349,1447,2.198276737,143.9251667,730.9647892,2013
Accuretic,Quinapril/Hydrochlorothiazide,Pfizer US Pharm,92285.54,42771,651,133,2.156757065,141.7596621,693.8762406,2013
Acebutolol HCl,Acebutolol HCl,Amneal Pharmace,2081405.14,6109391,73098,14546,0.341841815,28.47417358,143.0912375,2013
Acebutolol HCl,Acebutolol HCl,Mylan,1805772.19,4987933,61120,13146,0.362816825,29.54470206,137.3628625,2013
Acetamin-Caff-Dihydrocodeine,Acetaminophen/Caff/Dihydrocod,Xspire Pharma, , , , , , , ,2013
Acetaminophen-Codeine,Acetaminophen With Codeine,AHP,28693.72,146287,2347,942,0.19696229,12.2257009,30.46042463,2013
Acetaminophen-Codeine,Acetaminophen With Codeine,Amneal Pharmace,411400.7,2199131,42151,22425,0.187074213,9.760164646,18.34562765,2013
Acetaminophen-Codeine,Acetaminophen With Codeine,Aurobindo Pharm, , , , , , , ,2013
Acetaminophen-Codeine,Acetaminophen With Codeine,Hi-Tech/Akorn C,200305.3,6687170.302,22686,15041,0.029953671,8.829467513,13.31728609,2013
Acetaminophen-Codeine,Acetaminophen With Codeine,Mallinckrodt Ph,5292308.79,18952421,320118,153040,0.271763761,16.53236866,34.58121269,2013
Acetaminophen-Codeine,Acetaminophen With Codeine,Mckesson Packag,18774.02,92291,2099,1168,0.203422002,8.944268699,16.07364726,2013
Acetaminophen-Codeine,Acetaminophen With Codeine,Morton Grove Ph,65127.97,2068710.945,6637,4621,0.031482393,9.812862739,14.09391257,2013
