Brand Name,Year,brandspend,branddose,brandclaims,brandbens,nomchngspend,nomchngdose,nomchngclaims,nomchngbens,perchngspend,perchngdose,perchngclaims,perchngbens
1st Tier Unifine Pentips,2013,94537.7,518920,4376,1620,123088.7,493698,4206,1400,1.3020065011101392,0.9513952054266553,0.9611517367458866,0.8641975308641975
1st Tier Unifine Pentips,2014,123285.7,677160,5620,2087,123088.7,493698,4206,1400,1.3020065011101392,0.9513952054266553,0.9611517367458866,0.8641975308641975
1st Tier Unifine Pentips,2015,133958.25,717548,5789,2283,123088.7,493698,4206,1400,1.3020065011101392,0.9513952054266553,0.9611517367458866,0.8641975308641975
1st Tier Unifine Pentips,2016,215930.43,1050323,8897,3423,123088.7,493698,4206,1400,1.3020065011101392,0.9513952054266553,0.9611517367458866,0.8641975308641975
1st Tier Unifine Pentips,2017,217626.4,1012618,8582,3020,123088.7,493698,4206,1400,1.3020065011101392,0.9513952054266553,0.9611517367458866,0.8641975308641975
Abacavir,2013,26828850,3747816,58827,11240,-10669499.64,32968,-149,478,-0.3976875505286287,0.008796589800566516,-0.0025328505618168527,0.04252669039145907
Abacavir,2014,27878290.34,4327975.99,68004,12766,-10669499.64,32968,-149,478,-0.3976875505286287,0.008796589800566516,-0.0025328505618168527,0.04252669039145907
Abacavir,2015,24504368.4,4410978,68977,13778,-10669499.64,32968,-149,478,-0.3976875505286287,0.008796589800566516,-0.0025328505618168527,0.04252669039145907
Abacavir,2016,19337773.990000002,4253663,66526,14357,-10669499.64,32968,-149,478,-0.3976875505286287,0.008796589800566516,-0.0025328505618168527,0.04252669039145907
Abacavir,2017,16159350.36,3780784,58678,11718,-10669499.64,32968,-149,478,-0.3976875505286287,0.008796589800566516,-0.0025328505618168527,0.04252669039145907
Abacavir-Lamivudine-Zidovudine,2013,78230.03,3473,49,49,10086610.06,465168,7405,924,128.93527025363534,133.93838180247624,151.12244897959184,18.857142857142858
Abacavir-Lamivudine-Zidovudine,2014,17167220.41,766713,12201,1821,10086610.06,465168,7405,924,128.93527025363534,133.93838180247624,151.12244897959184,18.857142857142858
Abacavir-Lamivudine-Zidovudine,2015,16626213.8,759933,12216,1621,10086610.06,465168,7405,924,128.93527025363534,133.93838180247624,151.12244897959184,18.857142857142858
Abacavir-Lamivudine-Zidovudine,2016,12787721.57,608455,9768,1333,10086610.06,465168,7405,924,128.93527025363534,133.93838180247624,151.12244897959184,18.857142857142858
Abacavir-Lamivudine-Zidovudine,2017,10164840.09,468641,7454,973,10086610.06,465168,7405,924,128.93527025363534,133.93838180247624,151.12244897959184,18.857142857142858
Abilify,2013,2078945811,83801287.81,2837765,396575,-2041215524.23,-82644006.31,-2805586,-389638,-0.9818512408691157,-0.9861901704586704,-0.9886604422846853,-0.9825077223728172
Abilify,2014,2494267522,85759856.17,2917840,405001,-2041215524.23,-82644006.31,-2805586,-389638,-0.9818512408691157,-0.9861901704586704,-0.9886604422846853,-0.9825077223728172
Abilify,2015,1552449696,46696195.42,1611148,322485,-2041215524.23,-82644006.31,-2805586,-389638,-0.9818512408691157,-0.9861901704586704,-0.9886604422846853,-0.9825077223728172
Abilify,2016,91965210.13,2917397.75,96886,39246,-2041215524.23,-82644006.31,-2805586,-389638,-0.9818512408691157,-0.9861901704586704,-0.9886604422846853,-0.9825077223728172
Abilify,2017,37730286.77,1157281.5,32179,6937,-2041215524.23,-82644006.31,-2805586,-389638,-0.9818512408691157,-0.9861901704586704,-0.9886604422846853,-0.9825077223728172
Abilify Maintena,2013,21278004.27,14793.7,14694,3986,240821773.63,123376.91100000001,122819,15593,11.317874109534616,8.339827832117725,8.358445624064244,3.9119417962870044
Abilify Maintena,2014,83362843.56,55133.6,54759,9639,240821773.63,123376.91100000001,122819,15593,11.317874109534616,8.339827832117725,8.358445624064244,3.9119417962870044
